param,S1,S1_conf,ST,ST_conf
k_damage,0.6779088529463423,0.08130606697353004,0.6867598678461702,0.08679872416731559
k_act,0.22463350466787774,0.04874207392762849,0.23032265900145807,0.03220569756954679
K_d,0.08259949395503706,0.036639691936973535,0.08534490669675124,0.011217749343795238
k_nfkb_decay,0.006860887915872035,0.01330625078309083,0.010793577031797069,0.0023955276650418147
k_clearance,0.0028193233550405004,0.0067586446556163905,0.0027750973942725033,0.00038032079018100566
