drug,concentration,effect
aducanumab,0.039171014908092563,0.0053850699621757585
aducanumab,0.0419870708444391,0.00597105334668086
aducanumab,0.04500557675700498,0.006620193551296747
aducanumab,0.04824108704165369,0.007339158454465702
aducanumab,0.05170920242896755,0.0081352881291773
aducanumab,0.055426645206631014,0.009016655332318638
aducanumab,0.05941133984965034,0.009992129741600726
aducanumab,0.06368249944718586,0.011071445746933074
aducanumab,0.06826071834272386,0.012265273464418778
aducanumab,0.07316807143427193,0.013585292467556014
aducanumab,0.07842822061337681,0.015044267515811333
aducanumab,0.08406652885618325,0.01665612529911523
aducanumab,0.09011018251665019,0.01843603090146166
aducanumab,0.09658832241158699,0.02040046231123546
aducanumab,0.10353218432956615,0.022567280864330658
aducanumab,0.11097524964120721,0.02495579499404867
aducanumab,0.11895340673703195,0.027586814076923944
aducanumab,0.1275051240713013,0.030482688507259197
aducanumab,0.1366716356462006,0.033667331411578794
aducanumab,0.14649713983072848,0.03716621664078761
aducanumab,0.15702901247293774,0.04100634687524422
aducanumab,0.16831803533309567,0.04521618488088517
aducanumab,0.18041864093920718,0.0498255402123737
aducanumab,0.193389175045523,0.0548654030388432
aducanumab,0.20729217795953697,0.06036771635570358
aducanumab,0.22219468609395238,0.06636507774958801
aducanumab,0.23816855519761582,0.07289036223051551
aducanumab,0.25529080682395167,0.07997625858030977
aducanumab,0.2736439997074669,0.0876547133434845
aducanumab,0.29331662783900425,0.09595627915796318
aducanumab,0.31440354715915003,0.10490936771940969
aducanumab,0.33700643292719284,0.11453941238119558
aducanumab,0.36123426997094304,0.12486795122413309
aducanumab,0.3872038781812553,0.13591164828997732
aducanumab,0.41504047578504727,0.1476812783228013
aducanumab,0.4448782831127585,0.160180708396259
aducanumab,0.47686116977144694,0.17340591763366137
aducanumab,0.5111433483440165,0.18734410308958338
aducanumab,0.5478901179593939,0.20197292486113252
aducanumab,0.5872786613189477,0.21725994568261706
aducanumab,0.6294988990221888,0.23316231873513296
aducanumab,0.6747544053110693,0.24962677147834653
aducanumab,0.7232633896483533,0.2665899226442681
aducanumab,0.7752597488629457,0.2839789542713132
aducanumab,0.8309941949353387,0.30171264153087884
aducanumab,0.890735463861044,0.31970272142909195
aducanumab,0.9547716114208056,0.33785555907852916
aducanumab,1.0234114021054528,0.3560740492685243
aducanumab,1.096985797892384,0.37425967370173363
aducanumab,1.1758495540521559,0.3923146224255517
aducanumab,1.2603829296797273,0.4101438830261608
aducanumab,1.350993521198025,0.42765720364983967
aducanumab,1.448118227674533,0.44477084557828783
aducanumab,1.552225357427048,0.46140905679584604
aducanumab,1.6638168860761273,0.4775052179868804
aducanumab,1.7834308769319094,0.49300263456164917
aducanumab,1.9116440753856998,0.5078549704411328
aducanumab,2.0490746898158463,0.5220263394797205
aducanumab,2.1963853724165467,0.5354910870652295
aducanumab,2.3542864143224156,0.5482333066785997
aducanumab,2.523539170434766,0.5602461436847083
aducanumab,2.7049597304631314,0.5715309415524749
aducanumab,2.899422853882875,0.5820962846601831
aducanumab,3.107866187782014,0.5919569876748958
aducanumab,3.33129478793467,0.6011330751496665
aducanumab,3.5707859649004625,0.6096487873832811
aducanumab,3.827494478516307,0.6175316405472507
aducanumab,4.1026581058271905,0.6248115612526867
aducanumab,4.397603609302721,0.6315201085721223
aducanumab,4.713753134116719,0.6376897903396664
aducanumab,5.05263106533568,0.6433534754667
aducanumab,5.415871378079465,0.6485439000499071
aducanumab,5.805225516094896,0.6532932621484685
aducanumab,6.222570836730231,0.6576328981483442
aducanumab,6.669919663030115,0.661593032466546
aducanumab,7.149428986597577,0.6652025918220257
aducanumab,7.663410868007447,0.668489075263537
aducanumab,8.214343584919423,0.6714784714646574
aducanumab,8.804883581643464,0.6741952153577605
aducanumab,9.437878277775372,0.6766621768886697
aducanumab,10.11637979766207,0.6789006754587925
aducanumab,10.843659686896087,0.680930514426793
aducanumab,11.623224686798519,0.6827700308280642
aducanumab,12.458833642950081,0.6844361562110066
aducanumab,13.354515629298973,0.68594448516823
aducanumab,14.314589375234785,0.6873093487498302
aducanumab,15.343684089300101,0.6885438904821131
aducanumab,16.446761779946627,0.6896601431797982
aducanumab,17.62914118095948,0.6906691051366869
aducanumab,18.896523396912077,0.6915808146145215
aducanumab,20.255019392306664,0.6924044218285618
aducanumab,21.711179456945008,0.6931482578578354
aducanumab,23.272024789604075,0.6938199000945328
aducanumab,24.945081352303166,0.6944262339967139
aducanumab,26.73841615839944,0.694973511026988
aducanumab,28.660676169482503,0.6954674027521387
aducanumab,30.72112998861753,0.6959130511492667
aducanumab,32.92971255097148,0.6963151152167464
aducanumab,35.2970730273065,0.6966778140264951
aducanumab,37.83462617131925,0.6970049663805278
aducanumab,40.554607358408276,0.6973000272519216
aducanumab,43.47013158125017,0.6975661212000892
aducanumab,46.59525668664677,0.6978060729543396
aducanumab,49.9450511585514,0.6980224353593869
aducanumab,53.53566677410719,0.6982175148728947
aducanumab,57.38441648302393,0.6983933947991535
aducanumab,61.50985788580504,0.6985519564353262
aducanumab,65.93188271333541,0.6986948982979029
aducanumab,70.67181273927491,0.6988237535875205
aducanumab,75.75250258771905,0.6989399060404821
aducanumab,81.19844993184009,0.6990446043053993
aducanumab,87.03591361485165,0.6991389749735857
aducanumab,93.29304026284677,0.699224034382293
aducanumab,100.0,0.6993006993006993
lecanemab,0.0001,1.222179601031067e-05
lecanemab,0.00010718913192051276,1.3283580553443648e-05
lecanemab,0.00011489510001873086,1.4437606762759061e-05
lecanemab,0.00012315506032928262,1.5691887648525978e-05
lecanemab,0.0001320088400831418,1.7055132234997974e-05
lecanemab,0.00014149912974345758,1.853680600307611e-05
lecanemab,0.00015167168884709225,2.0147196579443894e-05
lecanemab,0.00016257556664437935,2.1897485127130386e-05
lecanemab,0.00017426333860096508,2.379982393182905e-05
lecanemab,0.00018679135990207828,2.5867420721064735e-05
lecanemab,0.00020022003718155845,2.811463029974871e-05
lecanemab,0.00021461411978584036,3.055705413610414e-05
lecanemab,0.0002300430119772917,3.321164858672551e-05
lecanemab,0.0002465811075822604,3.609684250901947e-05
lecanemab,0.00026430814869741055,3.923266507386375e-05
lecanemab,0.0002833096101839324,4.26408846614458e-05
lecanemab,0.0003036771118035457,4.634515979936899e-05
lecanemab,0.00032550885998350565,5.037120318475124e-05
lecanemab,0.0003489101213406774,5.4746959921730625e-05
lecanemab,0.0003739937302478798,5.950280120312775e-05
lecanemab,0.0004008806328898465,6.467173477063358e-05
lecanemab,0.00042970047043208395,7.02896336024778e-05
lecanemab,0.00046059220411451035,7.639548440183648e-05
lecanemab,0.0004937047852839004,8.303165759405062e-05
lecanemab,0.0005291978735958442,9.024420068691576e-05
lecanemab,0.0005672426068491978,9.808315700679491e-05
lecanemab,0.000608022426164942,0.0001066029119950928
lecanemab,0.000651733960488242,0.00011586256943578895
lecanemab,0.0006985879746785249,0.00012592636018639918
lecanemab,0.0007488103857590023,0.0001368640862031538
lecanemab,0.0008026433522257174,0.00014875160288766338
lecanemab,0.0008603464416684501,0.00016167134303828235
lecanemab,0.0009221978823334322,0.0001757128859662927
lecanemab,0.0009884959046625587,0.00019097357563648327
lecanemab,0.001059560179277616,0.00020755919201540017
lecanemab,0.001135733358343105,0.00022558468016027402
lecanemab,0.001217382727739662,0.00024517494195925774
lecanemab,0.0013049019780144017,0.00026646569584114536
lecanemab,0.0013987131026472386,0.00028960441021223685
lecanemab,0.0014992684327860455,0.00031475131685161775
lecanemab,0.0016070528182616384,0.00034208051100612406
lecanemab,0.0017225859653987874,0.00037178114547488025
lecanemab,0.0018464249428955426,0.00040405872656296355
lecanemab,0.0019791668678535573,0.00043913652041679095
lecanemab,0.00212145178491063,0.0004772570789325878
lecanemab,0.0022739657523579274,0.0005186838951562111
lecanemab,0.002437444150122222,0.0005637031988697475
lecanemab,0.0026126752255633263,0.0006126259038899276
lecanemab,0.002800503894183631,0.0006657897194872883
lecanemab,0.003001835813575589,0.0007235614392746907
lecanemab,0.0032176417502507355,0.0007863394219105973
lecanemab,0.0034489622604057598,0.0008545562790167584
lecanemab,0.0036969127071950244,0.0009286817868218351
lecanemab,0.003962688638701479,0.0010092260392108377
lecanemab,0.0042475715525368985,0.001096742861082983
lecanemab,0.004552935074866948,0.0011918335021944032
lecanemab,0.004880251583654433,0.001295150632981528
lecanemab,0.005231099308056258,0.0014074026652190685
lecanemab,0.005607169938205458,0.0015293584217533221
lecanemab,0.006010276782070382,0.0016618521809541903
lecanemab,0.00644236350872137,0.0018057891229317543
lecanemab,0.006905513520162331,0.00196215120594412
lecanemab,0.007401959996915637,0.0021320035027572026
lecanemab,0.007934096665797492,0.002316501027971691
lecanemab,0.008504489341802677,0.0025168960884682855
lecanemab,0.009115888299750819,0.002734546190092248
lecanemab,0.009771241535346501,0.0029709225344437705
lecanemab,0.010473708979594498,0.003227619140093402
lecanemab,0.011226677735108135,0.0035063626226186483
lecanemab,0.012033778407775893,0.003809022667461083
lecanemab,0.01289890261253308,0.004137623228617479
lecanemab,0.01382622173764655,0.004494354484467549
lecanemab,0.014820207057988586,0.004881585579446415
lecanemab,0.015885651294280528,0.005301878176607457
lecanemab,0.017027691722258997,0.005758000841177663
lecanemab,0.018251834943190423,0.00625294426873759
lecanemab,0.01956398343517063,0.006789937363382054
lecanemab,0.02097046401323233,0.007372464160817169
lecanemab,0.02247805833548725,0.008004281578466384
lecanemab,0.024094035602395245,0.008689437958892184
lecanemab,0.02582618760682675,0.009432292353746579
lecanemab,0.02768286630392064,0.010237534472557566
lecanemab,0.029673024081888696,0.011110205193412163
lecanemab,0.031806256927941194,0.01205571750044996
lecanemab,0.03409285069746811,0.013079877675447167
lecanemab,0.036543830709572546,0.014188906527050373
lecanemab,0.039171014908092563,0.01538946039082202
lecanemab,0.0419870708444391,0.0166886515756274
lecanemab,0.04500557675700498,0.01809406786653989
lecanemab,0.04824108704165369,0.019613790620997662
lecanemab,0.05170920242896755,0.021256410913215548
lecanemab,0.055426645206631014,0.023031043091898358
lecanemab,0.05941133984965034,0.024947335018508293
lecanemab,0.06368249944718586,0.02701547414855125
lecanemab,0.06826071834272386,0.029246188507973864
lecanemab,0.07316807143427193,0.03165074150292335
lecanemab,0.07842822061337681,0.03424091938680339
lecanemab,0.08406652885618325,0.037029010097769724
lecanemab,0.09011018251665019,0.040027772077756846
lecanemab,0.09658832241158699,0.043250391597353624
lecanemab,0.10353218432956615,0.04671042704736758
lecanemab,0.11097524964120721,0.050421738627271895
lecanemab,0.11895340673703195,0.05439840187398354
lecanemab,0.1275051240713013,0.05865460354402584
lecanemab,0.1366716356462006,0.06320451850163358
lecanemab,0.14649713983072848,0.06806216648893841
lecanemab,0.15702901247293774,0.07324124797607123
lecanemab,0.16831803533309567,0.07875495872177803
lecanemab,0.18041864093920718,0.08461578322948529
lecanemab,0.193389175045523,0.09083526796618184
lecanemab,0.20729217795953697,0.09742377602268966
lecanemab,0.22219468609395238,0.10439022582671148
lecanemab,0.23816855519761582,0.11174181755746825
lecanemab,0.25529080682395167,0.11948375202413028
lecanemab,0.2736439997074669,0.1276189479179574
lecanemab,0.29331662783900425,0.1361477644749573
lecanemab,0.31440354715915003,0.14506773762386013
lecanemab,0.33700643292719284,0.15437333856438287
lecanemab,0.36123426997094304,0.16405576433713565
lecanemab,0.3872038781812553,0.17410277022163298
lecanemab,0.41504047578504727,0.18449855365107945
lecanemab,0.4448782831127585,0.19522369869459041
lecanemab,0.47686116977144694,0.20625518898552567
lecanemab,0.5111433483440165,0.21756649525714192
lecanemab,0.5478901179593939,0.22912774141172615
lecanemab,0.5872786613189477,0.24090595036840218
lecanemab,0.6294988990221888,0.25286536792358655
lecanemab,0.6747544053110693,0.2649678596719144
lecanemab,0.7232633896483533,0.27717337285985955
lecanemab,0.7752597488629457,0.28944045208097435
lecanemab,0.8309941949353387,0.3017267951714973
lecanemab,0.890735463861044,0.31398983370914363
lecanemab,0.9547716114208056,0.32618732129984856
lecanemab,1.0234114021054528,0.33827791244843586
lecanemab,1.096985797892384,0.3502217152790651
lecanemab,1.1758495540521559,0.3619808026643243
lecanemab,1.2603829296797273,0.3735196683411225
lecanemab,1.350993521198025,0.38480561718921075
lecanemab,1.448118227674533,0.3958090818404293
lecanemab,1.552225357427048,0.406503860971904
lecanemab,1.6638168860761273,0.41686727781355953
lecanemab,1.7834308769319094,0.42688026038624344
lecanemab,1.9116440753856998,0.43652734762965545
lecanemab,2.0490746898158463,0.44579662776752
lecanemab,2.1963853724165467,0.4546796169235966
lecanemab,2.3542864143224156,0.4631710871223158
lecanemab,2.523539170434766,0.47126885339692104
lecanemab,2.7049597304631314,0.478973529832418
lecanemab,2.899422853882875,0.48628826405943226
lecanemab,3.107866187782014,0.4932184590707822
lecanemab,3.33129478793467,0.4997714903428389
lecanemab,3.5707859649004625,0.5059564251940545
lecanemab,3.827494478516307,0.5117837501814353
lecanemab,4.1026581058271905,0.5172651111891298
lecanemab,4.397603609302721,0.5224130697555411
lecanemab,4.713753134116719,0.5272408781568668
lecanemab,5.05263106533568,0.5317622748431315
lecanemab,5.415871378079465,0.5359913010236546
lecanemab,5.805225516094896,0.5399421385287637
lecanemab,6.222570836730231,0.5436289685321376
lecanemab,6.669919663030115,0.5470658502964589
lecanemab,7.149428986597577,0.5502666187932632
lecanemab,7.663410868007447,0.5532447998328932
lecanemab,8.214343584919423,0.5560135412082144
lecanemab,8.804883581643464,0.5585855582920565
lecanemab,9.437878277775372,0.5609730925197898
lecanemab,10.11637979766207,0.5631878812226542
lecanemab,10.843659686896087,0.565241137343543
lecanemab,11.623224686798519,0.5671435376554843
lecanemab,12.458833642950081,0.5689052182062113
lecanemab,13.354515629298973,0.5705357758235343
lecanemab,14.314589375234785,0.572044274630664
lecanemab,15.343684089300101,0.5734392566342492
lecanemab,16.446761779946627,0.5747287555578252
lecanemab,17.62914118095948,0.5759203131975315
lecanemab,18.896523396912077,0.5770209976740436
lecanemab,20.255019392306664,0.5780374230438434
lecanemab,21.711179456945008,0.5789757698138989
lecanemab,23.272024789604075,0.5798418059764804
lecanemab,24.945081352303166,0.5806409082454468
lecanemab,26.73841615839944,0.5813780832322565
lecanemab,28.660676169482503,0.5820579883496929
lecanemab,30.72112998861753,0.5826849522744153
lecanemab,32.92971255097148,0.5832629948365288
lecanemab,35.2970730273065,0.5837958462360269
lecanemab,37.83462617131925,0.5842869655127664
lecanemab,40.554607358408276,0.5847395582191607
lecanemab,43.47013158125017,0.5851565932635291
lecanemab,46.59525668664677,0.5855408189075209
lecanemab,49.9450511585514,0.5858947779136533
lecanemab,53.53566677410719,0.586220821849198
lecanemab,57.38441648302393,0.5865211245607309
lecanemab,61.50985788580504,0.5867976948399819
lecanemab,65.93188271333541,0.5870523883064291
lecanemab,70.67181273927491,0.5872869185356345
lecanemab,75.75250258771905,0.5875028674648207
lecanemab,81.19844993184009,0.5877016951088283
lecanemab,87.03591361485165,0.5878847486205098
lecanemab,93.29304026284677,0.5880532707299705
lecanemab,100.0,0.5882084075969476
donepezil,0.0001,0.0052980132450331134
donepezil,0.00010718913192051276,0.005676191963151057
donepezil,0.00011489510001873086,0.0060811589764106794
donepezil,0.00012315506032928262,0.00651478133169924
donepezil,0.0001320088400831418,0.006979051703087242
donepezil,0.00014149912974345758,0.007476096179433192
donepezil,0.00015167168884709225,0.008008182434878676
donepezil,0.00016257556664437935,0.008577728285266978
donepezil,0.00017426333860096508,0.009187310630502439
donepezil,0.00018679135990207828,0.009839674779243569
donepezil,0.00020022003718155845,0.010537744148008189
donepezil,0.00021461411978584036,0.011284630321671872
donepezil,0.0002300430119772917,0.012083643456364769
donepezil,0.0002465811075822604,0.012938302998808484
donepezil,0.00026430814869741055,0.013852348688071552
donepezil,0.0002833096101839324,0.014829751796438171
donepezil,0.0003036771118035457,0.01587472655545369
donepezil,0.00032550885998350565,0.016991741701102955
donepezil,0.0003489101213406774,0.01818553205836096
donepezil,0.0003739937302478798,0.01946111006989983
donepezil,0.0004008806328898465,0.02082377715641704
donepezil,0.00042970047043208395,0.022279134776751808
donepezil,0.00046059220411451035,0.023833095034583914
donepezil,0.0004937047852839004,0.025491890654987925
donepezil,0.0005291978735958442,0.027262084128408703
donepezil,0.0005672426068491978,0.029150575791739776
donepezil,0.000608022426164942,0.031164610586190182
donepezil,0.000651733960488242,0.03331178319966342
donepezil,0.0006985879746785249,0.035600041267677414
donepezil,0.0007488103857590023,0.038037686271776845
donepezil,0.0008026433522257174,0.04063337173841461
donepezil,0.0008603464416684501,0.04339609830504786
donepezil,0.0009221978823334322,0.04633520518453862
donepezil,0.0009884959046625587,0.04946035752490234
donepezil,0.001059560179277616,0.05278152913028415
donepezil,0.001135733358343105,0.056308979982288336
donepezil,0.001217382727739662,0.06005322798023835
donepezil,0.0013049019780144017,0.06402501430668824
donepezil,0.0013987131026472386,0.0682352618229022
donepezil,0.0014992684327860455,0.07269502591069155
donepezil,0.0016070528182616384,0.0774154372048229
donepezil,0.0017225859653987874,0.08240763570720666
donepezil,0.0018464249428955426,0.08768269584339153
donepezil,0.0019791668678535573,0.09325154211662477
donepezil,0.00212145178491063,0.09912485513782399
donepezil,0.0022739657523579274,0.10531296796382855
donepezil,0.002437444150122222,0.11182575286322051
donepezil,0.0026126752255633263,0.11867249884997581
donepezil,0.002800503894183631,0.1258617805802095
donepezil,0.003001835813575589,0.1334013194948412
donepezil,0.0032176417502507355,0.14129783840793556
donepezil,0.0034489622604057598,0.14955691108145416
donepezil,0.0036969127071950244,0.15818280868466006
donepezil,0.003962688638701479,0.16717834540040563
donepezil,0.0042475715525368985,0.17654472579849398
donepezil,0.004552935074866948,0.18628139693336265
donepezil,0.004880251583654433,0.19638590842248627
donepezil,0.005231099308056258,0.20685378400463586
donepezil,0.005607169938205458,0.2176784082441065
donepezil,0.006010276782070382,0.2288509321190626
donepezil,0.00644236350872137,0.24036020119147902
donepezil,0.006905513520162331,0.2521927098876305
donepezil,0.007401959996915637,0.2643325851107585
donepezil,0.007934096665797492,0.2767616019559181
donepezil,0.008504489341802677,0.2894592337023026
donepezil,0.009115888299750819,0.3024027375295153
donepezil,0.009771241535346501,0.3155672765583026
donepezil,0.010473708979594498,0.3289260778784707
donepezil,0.011226677735108135,0.34245062522973335
donepezil,0.012033778407775893,0.3561108839840026
donepezil,0.01289890261253308,0.369875555083331
donepezil,0.01382622173764655,0.3837123536613817
donepezil,0.014820207057988586,0.3975883072620953
donepezil,0.015885651294280528,0.41147006790748214
donepezil,0.017027691722258997,0.42532423179095064
donepezil,0.018251834943190423,0.439117660108034
donepezil,0.01956398343517063,0.45281779449675985
donepezil,0.02097046401323233,0.46639296074730646
donepezil,0.02247805833548725,0.47981265484510355
donepezil,0.024094035602395245,0.4930478060120052
donepezil,0.02582618760682675,0.5060710121756894
donepezil,0.02768286630392064,0.5188567441897
donepezil,0.029673024081888696,0.5313815161023534
donepezil,0.031806256927941194,0.5436240197870523
donepezil,0.03409285069746811,0.555565223255229
donepezil,0.036543830709572546,0.567188432935556
donepezil,0.039171014908092563,0.5784793210841739
donepezil,0.0419870708444391,0.5894259202625611
donepezil,0.04500557675700498,0.6000185874623872
donepezil,0.04824108704165369,0.6102499409585385
donepezil,0.05170920242896755,0.6201147733286471
donepezil,0.055426645206631014,0.6296099442932128
donepezil,0.05941133984965034,0.6387342571139527
donepezil,0.06368249944718586,0.6474883222532252
donepezil,0.06826071834272386,0.6558744118612487
donepezil,0.07316807143427193,0.6638963084392082
donepezil,0.07842822061337681,0.671559150744632
donepezil,0.08406652885618325,0.6788692796795109
donepezil,0.09011018251665019,0.6858340865491399
donepezil,0.09658832241158699,0.6924618657162109
donepezil,0.10353218432956615,0.6987616733136777
donepezil,0.11097524964120721,0.7047431933322026
donepezil,0.11895340673703195,0.7104166120720053
donepezil,0.1275051240713013,0.7157925016507064
donepezil,0.1366716356462006,0.7208817129921906
donepezil,0.14649713983072848,0.7256952784886613
donepezil,0.15702901247293774,0.7302443243293759
donepezil,0.16831803533309567,0.7345399923242929
donepezil,0.18041864093920718,0.738593370917296
donepezil,0.193389175045523,0.7424154349793909
donepezil,0.20729217795953697,0.7460169938944756
donepezil,0.22219468609395238,0.7494086473958914
donepezil,0.23816855519761582,0.7526007485778273
donepezil,0.25529080682395167,0.7556033734887034
donepezil,0.2736439997074669,0.7584262967109598
donepezil,0.29331662783900425,0.7610789723405182
donepezil,0.31440354715915003,0.7635705197970979
donepezil,0.33700643292719284,0.7659097139213874
donepezil,0.36123426997094304,0.7681049788448915
donepezil,0.3872038781812553,0.7701643851514726
donepezil,0.41504047578504727,0.7720956498848307
donepezil,0.4448782831127585,0.7739061389923088
donepezil,0.47686116977144694,0.7756028718315454
donepezil,0.5111433483440165,0.7771925274019547
donepezil,0.5478901179593939,0.7786814519972339
donepezil,0.5872786613189477,0.7800756680076946
donepezil,0.6294988990221888,0.7813808836319099
donepezil,0.6747544053110693,0.7826025032858063
donepezil,0.7232633896483533,0.7837456385237852
donepezil,0.7752597488629457,0.7848151193107507
donepezil,0.8309941949353387,0.7858155055060193
donepezil,0.890735463861044,0.7867510984401059
donepezil,0.9547716114208056,0.7876259524833699
donepezil,1.0234114021054528,0.7884438865215954
donepezil,1.096985797892384,0.7892084952678855
donepezil,1.1758495540521559,0.7899231603529036
donepezil,1.2603829296797273,0.7905910611466209
donepezil,1.350993521198025,0.7912151852744693
donepezil,1.448118227674533,0.7917983387992694
donepezil,1.552225357427048,0.7923431560476405
donepezil,1.6638168860761273,0.7928521090658986
donepezil,1.7834308769319094,0.7933275166958479
donepezil,1.9116440753856998,0.7937715532654378
donepezil,2.0490746898158463,0.7941862568931211
donepezil,2.1963853724165467,0.7945735374079613
donepezil,2.3542864143224156,0.794935183890196
donepezil,2.523539170434766,0.7952728718391433
donepezil,2.7049597304631314,0.7955881699770766
donepezil,2.899422853882875,0.795882546699079
donepezil,3.107866187782014,0.79615737617995
donepezil,3.33129478793467,0.7964139441500292
donepezil,3.5707859649004625,0.7966534533523578
donepezil,3.827494478516307,0.7968770286939661
donepezil,4.1026581058271905,0.7970857221042665
donepezil,4.397603609302721,0.7972805171135923
donepezil,4.713753134116719,0.7974623331648627
donepezil,5.05263106533568,0.7976320296712041
donepezil,5.415871378079465,0.7977904098321248
donepezil,5.805225516094896,0.7979382242205537
donepezil,6.222570836730231,0.7980761741527107
donepezil,6.669919663030115,0.7982049148524007
donepezil,7.149428986597577,0.7983250584209226
donepezil,7.663410868007447,0.798437176623356
donepezil,8.214343584919423,0.7985418035015587
donepezil,8.804883581643464,0.7986394378237627
donepezil,9.437878277775372,0.7987305453802136
donepezil,10.11637979766207,0.7988155611338577
donepezil,10.843659686896087,0.7988948912346446
donepezil,11.623224686798519,0.7989689149055859
donepezil,12.458833642950081,0.7990379862082911
donepezil,13.354515629298973,0.799102435695299
donepezil,14.314589375234785,0.7991625719561274
donepezil,15.343684089300101,0.7992186830635862
donepezil,16.446761779946627,0.7992710379265349
donepezil,17.62914118095948,0.7993198875549155
donepezil,18.896523396912077,0.7993654662425578
donepezil,20.255019392306664,0.7994079926729347
donepezil,21.711179456945008,0.7994476709527425
donepezil,23.272024789604075,0.7994846915778886
donepezil,24.945081352303166,0.7995192323362003
donepezil,26.73841615839944,0.7995514591509005
donepezil,28.660676169482503,0.7995815268686578
