drug,concentration,effect
aducanumab,0.0001,6.999993000007001e-07
aducanumab,0.00010718913192051276,7.768258854039845e-07
aducanumab,0.00011489510001873086,8.620843606044631e-07
aducanumab,0.00012315506032928262,9.567001419856728e-07
aducanumab,0.0001320088400831418,1.0617002116310048e-06
aducanumab,0.00014149912974345758,1.1782242641677362e-06
aducanumab,0.00015167168884709225,1.30753707694826e-06
aducanumab,0.00016257556664437935,1.451042237819701e-06
aducanumab,0.00017426333860096508,1.61029737946445e-06
aducanumab,0.00018679135990207828,1.7870310856415855e-06
aducanumab,0.00020022003718155845,1.9831616527999787e-06
aducanumab,0.00021461411978584036,2.2008179106644712e-06
aducanumab,0.0002300430119772917,2.4423623277353774e-06
aducanumab,0.0002465811075822604,2.7104166524303963e-06
aducanumab,0.00026430814869741055,3.0078903681055274e-06
aducanumab,0.0002833096101839324,3.338012270715767e-06
aducanumab,0.0003036771118035457,3.704365511747389e-06
aducanumab,0.00032550885998350565,4.110926486638594e-06
aducanumab,0.0003489101213406774,4.562107990610609e-06
aducanumab,0.0003739937302478798,5.06280711010816e-06
aducanumab,0.0004008806328898465,5.6184583693974225e-06
aducanumab,0.00042970047043208395,6.235092708845343e-06
aducanumab,0.00046059220411451035,6.919402934623267e-06
aducanumab,0.0004937047852839004,7.678816349721886e-06
aducanumab,0.0005291978735958442,8.52157535399114e-06
aducanumab,0.0005672426068491978,9.456826887267627e-06
aducanumab,0.000608022426164942,1.0494721685452973e-05
aducanumab,0.000651733960488242,1.1646524425692855e-05
aducanumab,0.0006985879746785249,1.2924735954720338e-05
aducanumab,0.0007488103857590023,1.4343228925237319e-05
aducanumab,0.0008026433522257174,1.5917398310319247e-05
aducanumab,0.0008603464416684501,1.7664328426796307e-05
aducanumab,0.0009221978823334322,1.960297827711537e-05
aducanumab,0.0009884959046625587,2.1754387217229413e-05
aducanumab,0.001059560179277616,2.414190317771076e-05
aducanumab,0.001135733358343105,2.6791435908884047e-05
aducanumab,0.001217382727739662,2.9731737990913345e-05
aducanumab,0.0013049019780144017,3.299471664932689e-05
aducanumab,0.0013987131026472386,3.661577974859277e-05
aducanumab,0.0014992684327860455,4.063421970457373e-05
aducanumab,0.0016070528182616384,4.509363946487594e-05
aducanumab,0.0017225859653987874,5.00424251585332e-05
aducanumab,0.0018464249428955426,5.553427051787685e-05
aducanumab,0.0019791668678535573,6.162875873104517e-05
aducanumab,0.00212145178491063,6.8392007999133e-05
aducanumab,0.0022739657523579274,7.589738775383342e-05
aducanumab,0.002437444150122222,8.422631324653422e-05
aducanumab,0.0026126752255633263,9.346912705591156e-05
aducanumab,0.002800503894183631,0.00010372607698653756
aducanumab,0.003001835813575589,0.00011510840085514909
aducanumab,0.0032176417502507355,0.00012773952979419772
aducanumab,0.0034489622604057598,0.00014175642295518736
aducanumab,0.0036969127071950244,0.00015731104787930015
aducanumab,0.003962688638701479,0.00017457202233313277
aducanumab,0.0042475715525368985,0.00019372643509742117
aducanumab,0.004552935074866948,0.00021498186506210528
aducanumab,0.004880251583654433,0.00023856862003883612
aducanumab,0.005231099308056258,0.0002647422189703696
aducanumab,0.005607169938205458,0.000293786143714781
aducanumab,0.006010276782070382,0.0003260148893320066
aducanumab,0.00644236350872137,0.0003617773448231961
aducanumab,0.006905513520162331,0.0004014605395931128
aducanumab,0.007401959996915637,0.0004454937945470508
aducanumab,0.007934096665797492,0.0004943533207218334
aducanumab,0.008504489341802677,0.0005485673127114113
aducanumab,0.009115888299750819,0.0006087215889076843
aducanumab,0.009771241535346501,0.0006754658357618837
aducanumab,0.010473708979594498,0.0007495205189058082
aducanumab,0.011226677735108135,0.0008316845300773916
aducanumab,0.012033778407775893,0.0009228436453899319
aducanumab,0.01289890261253308,0.0010239798775819994
aducanumab,0.01382622173764655,0.001136181812490887
aducanumab,0.014820207057988586,0.0012606560281016317
aducanumab,0.015885651294280528,0.0013987397031172543
aducanumab,0.017027691722258997,0.0015519145310369821
aducanumab,0.018251834943190423,0.0017218220651569606
aducanumab,0.01956398343517063,0.0019102806296317062
aducanumab,0.02097046401323233,0.0021193039416245573
aducanumab,0.02247805833548725,0.0023511215994542474
aducanumab,0.024094035602395245,0.0026082016012741664
aducanumab,0.02582618760682675,0.002893275067887799
aducanumab,0.02768286630392064,0.003209363351403299
aducanumab,0.029673024081888696,0.0035598077180435017
aducanumab,0.031806256927941194,0.003948301797899705
aducanumab,0.03409285069746811,0.004378926995926973
aducanumab,0.036543830709572546,0.004856191056005005
