drug,time_h,concentration
aducanumab,0.0,0.0
aducanumab,1.4428857715430863,221.77130311900748
aducanumab,2.8857715430861726,215.73090937598053
aducanumab,4.328657314629259,209.8559494355367
aducanumab,5.771543086172345,204.1418905927364
aducanumab,7.214428857715431,198.5843243373942
aducanumab,8.657314629258519,193.1789629511724
aducanumab,10.100200400801604,187.92163619791341
aducanumab,11.54308617234469,182.8082881046596
aducanumab,12.985971943887776,177.83497383086768
aducanumab,14.428857715430862,172.99785662340733
aducanumab,15.87174348697395,168.29320485499238
aducanumab,17.314629258517037,163.71738914375834
aducanumab,18.757515030060123,159.2668795517625
aducanumab,20.20040080160321,154.93824286024423
aducanumab,21.643286573146295,150.72813991954305
aducanumab,23.08617234468938,146.63332307162818
aducanumab,24.529058116232466,142.6506336432527
aducanumab,25.971943887775552,138.77699950778998
aducanumab,27.414829659318638,135.00943271387789
aducanumab,28.857715430861724,131.3450271790373
aducanumab,30.300601202404813,127.78095644648427
aducanumab,31.7434869739479,124.31447150340561
aducanumab,33.186372745490985,120.94289865901264
aducanumab,34.629258517034074,117.66363748073618
aducanumab,36.07214428857716,114.4741587869698
aducanumab,37.515030060120246,111.37200269481237
aducanumab,38.95791583166333,108.35477672129876
aducanumab,40.40080160320642,105.42015393665878
aducanumab,41.8436873747495,102.56587116817572
aducanumab,43.28657314629259,99.78972725325862
aducanumab,44.72945891783567,97.08958134037997
aducanumab,46.17234468937876,94.46335123656736
aducanumab,47.61523046092185,91.90901180017349
aducanumab,49.05811623246493,89.42459337768462
aducanumab,50.50100200400802,87.00818028336013
aducanumab,51.943887775551104,84.65790932052766
aducanumab,53.386773547094194,82.37196834339612
aducanumab,54.829659318637276,80.1485948582742
aducanumab,56.272545090180365,77.98607466311496
aducanumab,57.71543086172345,75.88274052433682
aducanumab,59.15831663326654,73.83697088989906
aducanumab,60.60120240480963,71.84718863763908
aducanumab,62.04408817635271,69.91185985790572
aducanumab,63.4869739478958,68.02949266954688
aducanumab,64.92985971943888,66.19863606833887
aducanumab,66.37274549098197,64.41787880696899
aducanumab,67.81563126252506,62.6858483057061
aducanumab,69.25851703406815,61.00120959291845
aducanumab,70.70140280561122,59.36266427462121
aducanumab,72.14428857715431,57.768949532258006
aducanumab,73.5871743486974,56.2188371479433
aducanumab,75.03006012024049,54.71113255641358
aducanumab,76.47294589178357,53.24467392295332
aducanumab,77.91583166332666,51.81833124658628
aducanumab,79.35871743486975,50.431005487839315
aducanumab,80.80160320641284,49.08162772040489
aducanumab,82.24448897795592,47.76915830604798
aducanumab,83.687374749499,46.49258609212032
aducanumab,85.13026052104209,45.25092763106247
aducanumab,86.57314629258518,44.04322642129175
aducanumab,88.01603206412827,42.86855216888994
aducanumab,89.45891783567134,41.726000069519294
aducanumab,90.90180360721443,40.6146901100148
aducanumab,92.34468937875752,39.533766389112515
aducanumab,93.78757515030061,38.48239645678956
aducanumab,95.2304609218437,37.4597706717062
aducanumab,96.67334669338678,36.46510157625379
aducanumab,98.11623246492987,35.497623288726196
aducanumab,99.55911823647295,34.55659091214615
aducanumab,101.00200400801604,33.64127995928923
aducanumab,102.44488977955912,32.750985793461574
aducanumab,103.88777555110221,31.88502308460077
aducanumab,105.3306613226453,31.042725280279193
aducanumab,106.77354709418839,30.223444091201696
aducanumab,108.21643286573148,29.426548990800594
aducanumab,109.65931863727455,28.651426728541615
aducanumab,111.10220440881764,27.897480856565128
aducanumab,112.54509018036073,27.16413126929777
aducanumab,113.98797595190382,26.450813755677967
aducanumab,115.4308617234469,25.756979563650503
aducanumab,116.87374749498998,25.082094976593925
aducanumab,118.31663326653307,24.425640901353752
aducanumab,119.75951903807616,23.78711246756336
