route,time_h,concentration
IV infusion,0.0,0.0
IV infusion,1.4428857715430863,221.77130311900748
IV infusion,2.8857715430861726,215.73090937598053
IV infusion,4.328657314629259,209.8559494355367
IV infusion,5.771543086172345,204.1418905927364
IV infusion,7.214428857715431,198.5843243373942
IV infusion,8.657314629258519,193.1789629511724
IV infusion,10.100200400801604,187.92163619791341
IV infusion,11.54308617234469,182.8082881046596
IV infusion,12.985971943887776,177.83497383086768
IV infusion,14.428857715430862,172.99785662340733
IV infusion,15.87174348697395,168.29320485499238
IV infusion,17.314629258517037,163.71738914375834
IV infusion,18.757515030060123,159.2668795517625
IV infusion,20.20040080160321,154.93824286024423
IV infusion,21.643286573146295,150.72813991954305
IV infusion,23.08617234468938,146.63332307162818
IV infusion,24.529058116232466,142.6506336432527
IV infusion,25.971943887775552,138.77699950778998
IV infusion,27.414829659318638,135.00943271387789
IV infusion,28.857715430861724,131.3450271790373
IV infusion,30.300601202404813,127.78095644648427
IV infusion,31.7434869739479,124.31447150340561
IV infusion,33.186372745490985,120.94289865901264
IV infusion,34.629258517034074,117.66363748073618
IV infusion,36.07214428857716,114.4741587869698
IV infusion,37.515030060120246,111.37200269481237
IV infusion,38.95791583166333,108.35477672129876
IV infusion,40.40080160320642,105.42015393665878
IV infusion,41.8436873747495,102.56587116817572
IV infusion,43.28657314629259,99.78972725325862
IV infusion,44.72945891783567,97.08958134037997
IV infusion,46.17234468937876,94.46335123656736
IV infusion,47.61523046092185,91.90901180017349
IV infusion,49.05811623246493,89.42459337768462
IV infusion,50.50100200400802,87.00818028336013
IV infusion,51.943887775551104,84.65790932052766
IV infusion,53.386773547094194,82.37196834339612
IV infusion,54.829659318637276,80.1485948582742
IV infusion,56.272545090180365,77.98607466311496
IV infusion,57.71543086172345,75.88274052433682
IV infusion,59.15831663326654,73.83697088989906
IV infusion,60.60120240480963,71.84718863763908
IV infusion,62.04408817635271,69.91185985790572
IV infusion,63.4869739478958,68.02949266954688
IV infusion,64.92985971943888,66.19863606833887
IV infusion,66.37274549098197,64.41787880696899
IV infusion,67.81563126252506,62.6858483057061
IV infusion,69.25851703406815,61.00120959291845
IV infusion,70.70140280561122,59.36266427462121
IV infusion,72.14428857715431,57.768949532258006
IV infusion,73.5871743486974,56.2188371479433
IV infusion,75.03006012024049,54.71113255641358
IV infusion,76.47294589178357,53.24467392295332
IV infusion,77.91583166332666,51.81833124658628
IV infusion,79.35871743486975,50.431005487839315
IV infusion,80.80160320641284,49.08162772040489
IV infusion,82.24448897795592,47.76915830604798
IV infusion,83.687374749499,46.49258609212032
IV infusion,85.13026052104209,45.25092763106247
IV infusion,86.57314629258518,44.04322642129175
IV infusion,88.01603206412827,42.86855216888994
IV infusion,89.45891783567134,41.726000069519294
IV infusion,90.90180360721443,40.6146901100148
IV infusion,92.34468937875752,39.533766389112515
IV infusion,93.78757515030061,38.48239645678956
IV infusion,95.2304609218437,37.4597706717062
IV infusion,96.67334669338678,36.46510157625379
IV infusion,98.11623246492987,35.497623288726196
IV infusion,99.55911823647295,34.55659091214615
IV infusion,101.00200400801604,33.64127995928923
IV infusion,102.44488977955912,32.750985793461574
IV infusion,103.88777555110221,31.88502308460077
IV infusion,105.3306613226453,31.042725280279193
IV infusion,106.77354709418839,30.223444091201696
IV infusion,108.21643286573148,29.426548990800594
IV infusion,109.65931863727455,28.651426728541615
IV infusion,111.10220440881764,27.897480856565128
IV infusion,112.54509018036073,27.16413126929777
