glutamate_conc,memantine_conc,effect
0.01,0.0,0.011764705882352941
0.06020100502512563,0.0,0.06447793326157158
0.11040201005025126,0.0,0.10852062237589527
0.1606030150753769,0.0,0.14586946599726153
0.21080402010050253,0.0,0.1779427359490986
0.2610050251256282,0.0,0.20578446909667197
0.31120603015075377,0.0,0.23018026389147
0.3614070351758794,0.0,0.2517325866293315
0.41160804020100505,0.0,0.2709111956341988
0.4618090452261307,0.0,0.2880877742946708
0.5120100502512563,0.0,0.30356025621927607
0.5622110552763819,0.0,0.3175702526256032
0.6124120603015075,0.0,0.33031576094321724
0.6626130653266332,0.0,0.3419605809128631
0.7128140703517588,0.0,0.35264139216904905
0.7630150753768845,0.0,0.3624731439484364
0.8132160804020101,0.0,0.3715532085868442
0.8634170854271357,0.0,0.3799646174259177
0.9136180904522614,0.0,0.38777860723045754
0.963819095477387,0.0,0.3950566426364573
1.0140201005025127,0.0,0.40185203624415017
1.0642211055276383,0.0,0.40821125674633774
1.1144221105527639,0.0,0.414174992996545
1.1646231155778894,0.0,0.41977902553885166
1.214824120603015,0.0,0.42505494505494507
1.2650251256281408,0.0,0.4300307482063546
1.3152261306532664,0.0,0.4347313346067602
1.365427135678392,0.0,0.4391789235493777
1.4156281407035176,0.0,0.4433934052097269
1.4658291457286432,0.0,0.44739263803680984
1.516030150753769,0.0,0.45119270171240555
1.5662311557788946,0.0,0.45480811323507947
1.6164321608040202,0.0,0.4582520122515848
1.6666331658291458,0.0,0.4615363206234344
1.7168341708542714,0.0,0.46467188031281864
1.7670351758793972,0.0,0.46766857294853037
1.8172361809045228,0.0,0.4705354238501073
1.8674371859296484,0.0,0.47328069281711665
1.917638190954774,0.0,0.47591195360728317
1.9678391959798995,0.0,0.4784361637141112
2.018040201005025,0.0,0.4808597257977609
2.0682412060301507,0.0,0.48318854191124677
2.1184422110552763,0.0,0.4854280614888594
2.168643216080402,0.0,0.4875833239182013
2.2188442211055275,0.0,0.48965899639589683
2.269045226130653,0.0,0.4916594076655052
2.3192462311557787,0.0,0.493588578150901
2.3694472361809042,0.0,0.4954502469265525
2.41964824120603,0.0,0.4972478959054061
2.469849246231156,0.0,0.49898477157360405
2.5200502512562815,0.0,0.5006639045574801
2.570251256281407,0.0,0.5022881272709417
2.6204522613065326,0.0,0.5038600898594134
