,mem_0.0100,mem_0.0144,mem_0.0207,mem_0.0298,mem_0.0428,mem_0.0616,mem_0.0886,mem_0.1274,mem_0.1833,mem_0.2637,mem_0.3793,mem_0.5456,mem_0.7848,mem_1.1288,mem_1.6238,mem_2.3357,mem_3.3598,mem_4.8329,mem_6.9519,mem_10.0000
don_0.0010,1.22,1.3164589754232858,1.4552103778452539,1.6547973171588897,1.9418931277182665,1.7439007729727654,1.5239279518598625,1.3710044312673162,1.2646931013852676,1.1907862306992112,1.1394067066102385,1.103688031592553,1.0788566660312506,1.061594079573781,1.0495932538251573,1.04125036621653,1.0354504508516942,1.031418391471622,1.0286153328368335,1.026666666666667
don_0.0014,1.151418379139951,1.2178077505585616,1.3133055344591502,1.450674311042671,1.6482724123734496,1.932507379158562,1.753644103823603,1.5336712827106989,1.3807477621181532,1.2744364322361046,1.2005295615500482,1.1491500374610755,1.11343136244339,1.088599996882087,1.0713374104246192,1.0593365846759932,1.050993697067367,1.0451937817025323,1.0411617223224576,1.0383586636876714
don_0.0021,1.1037409303678645,1.149226129698513,1.214654309594426,1.3087694676565673,1.4441494062572307,1.6388866638137451,1.9190064501913588,1.7676593969975387,1.5476865758846352,1.3947630552920893,1.288451725410041,1.2145448547239845,1.1631653306350116,1.1274466556173255,1.1026152900560242,1.085352703598554,1.0733518778499291,1.0650089902413045,1.0592090748764673,1.0551770154963949
don_0.0030,1.070595911441385,1.101548680926426,1.146072688734377,1.210118242791843,1.302244562871127,1.434763657697526,1.625385734846542,1.8995860404267062,1.787819693897906,1.5678468727850023,1.414923352192457,1.3086120223104085,1.234705151624352,1.1833256275353783,1.147606952517694,1.1227755869563902,1.1055130004989213,1.0935121747502978,1.0851692871416705,1.0793693717768356
don_0.0043,1.0475537330545277,1.0684036619999469,1.0983952399622905,1.1415366219317944,1.203593338006403,1.2928588143114226,1.4212627287303232,1.6059653250818895,1.8716507541702412,1.8168192707220854,1.5968464496091823,1.4439229290166367,1.337611599134588,1.2637047284485308,1.212325204359559,1.1766065293418722,1.1517751637805698,1.1345125773231022,1.122511751574476,1.1141688639658511
don_0.0062,1.0315349766317459,1.0453614836130891,1.0652502210358108,1.0938591731597074,1.1350117171463536,1.1942075894466981,1.2793578853442193,1.4018423189656701,1.5780300388254238,1.8314672447753446,1.8585337087652163,1.6385608876523132,1.4856373670597671,1.3793260371777176,1.3054191664916626,1.254039642402688,1.2183209673850026,1.1934896018237016,1.1762270153662313,1.1642261896176076
don_0.0089,1.0203988525629055,1.029342727190308,1.0422080426489537,1.0607141542332286,1.0873342683742675,1.1256259685866499,1.1807066604794958,1.2599374755795676,1.373907032709206,1.5378465294305288,1.7736652801752513,1.9185378375083397,1.698565016395436,1.5456414958028897,1.4393301659208424,1.3654232952347845,1.3140437711458113,1.2783250961281274,1.2534937305668237,1.2362311441093559
don_0.0127,1.0126570993329078,1.0182066031214672,1.0261892862261721,1.037671975846371,1.054189249447788,1.077948519814563,1.1121250396194469,1.1612862507148431,1.2320021893231021,1.3337235233143097,1.480044564830434,1.6905200506534372,1.9932784897228282,1.7848779486827802,1.6319544280902358,1.5256430982081857,1.451736227522129,1.4003567034331577,1.3646380284154707,1.3398066628541696
don_0.0183,1.007275088257629,1.0104648498914695,1.0150531621573313,1.0216532194235894,1.0311470710609305,1.0448035008880836,1.06444759084736,1.0927046298547942,1.133350964458378,1.191818679928206,1.2759215587142148,1.39689933530862,1.5709198045361323,1.8212395290562138,1.9090347764892934,1.7561112558967458,1.6497999260146972,1.5758930553286423,1.5245135312396676,1.4887948562219835
don_0.0264,1.003533552929148,1.0050828388161912,1.0073114089273343,1.0105170953547493,1.0151283146381498,1.021761322501227,1.0313025719208815,1.045027181082708,1.0647693435983299,1.0931674550634825,1.1340167153281122,1.192776329192402,1.2772990891913163,1.3988808438695193,1.5737701053041988,1.825339543877625,1.934704630985173,1.8283933011031261,1.7544864304170682,1.7031069063280961
don_0.0379,1.0009324645221434,1.0013413034877092,1.0019293978520551,1.0027753421247514,1.0039921905693086,1.005742566078445,1.0082603935340235,1.0118821621562284,1.0170918948262426,1.024585834203433,1.0353654904633873,1.050871485806298,1.073176083075097,1.1052601285247017,1.1514114201175023,1.2177977403534976,1.3132911352807939,1.450653598546173,1.6482426184851762,1.9324645221433037
don_0.0546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.0785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.1129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.1624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.2336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.3360,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.4833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_0.6952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
don_1.0000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
