condition,abeta_uM,time_hours,nfkb_mean,nfkb_sem,nfkb_within_cell_std,phagocytosis_mean,n
Control (0),0.0,0,0.0,0.0,0.0,0.3,20
Control (0),0.0,1,0.0036650000000000003,0.00047566601507227407,0.0052195287443220755,0.31392549999999997,20
Control (0),0.0,2,0.006356499999999999,0.0005658734631662714,0.008319978912245863,0.313176,20
Control (0),0.0,3,0.0088745,0.0007170478494640734,0.010359742867191976,0.3090955,20
Control (0),0.0,4,0.011695,0.0008375963416699881,0.01262384103954826,0.3058195,20
Control (0),0.0,5,0.0147035,0.0009791148728369547,0.013226932075596703,0.3244075,20
Control (0),0.0,6,0.014549000000000001,0.000985006518813588,0.013297245593476467,0.3052925,20
Control (0),0.0,7,0.015379,0.0008449288042258507,0.014733204452575505,0.316588,20
Control (0),0.0,8,0.015834,0.0010322143800179252,0.014514709129678657,0.318334,20
Control (0),0.0,9,0.016259000000000003,0.0010765600430611333,0.014702639339226341,0.31488,20
Control (0),0.0,10,0.0170535,0.001213453591375069,0.016266897803443467,0.313015,20
Control (0),0.0,11,0.0172735,0.0010796839876361483,0.016405769864942472,0.315318,20
Control (0),0.0,12,0.0175235,0.0009550299733516223,0.015681959299813367,0.3175335,20
Control (0),0.0,13,0.016636,0.0009506918256556227,0.015625822287593134,0.320326,20
Control (0),0.0,14,0.017442,0.0008282481829932251,0.015938348060320705,0.3317215,20
Control (0),0.0,15,0.018061,0.0011442305849691955,0.016229145676529454,0.309023,20
Control (0),0.0,16,0.0180895,0.001256075650378465,0.01634752107543668,0.3120675,20
Control (0),0.0,17,0.019009,0.0014822608798013505,0.016168037917214072,0.31376750000000003,20
Control (0),0.0,18,0.0192165,0.0014952986455801008,0.01749360973184756,0.3137105,20
Control (0),0.0,19,0.0190105,0.0013713879782330403,0.01772350857140428,0.3066025,20
Control (0),0.0,20,0.0200325,0.0012599080741320604,0.017856580849470137,0.3190795,20
Control (0),0.0,21,0.019983,0.001357095990089054,0.017667673397152684,0.30551249999999996,20
Control (0),0.0,22,0.0192385,0.0013595493206438514,0.017830836821953175,0.3214505,20
Control (0),0.0,23,0.0201105,0.0013699730068412602,0.018070377703637563,0.31372,20
Control (0),0.0,24,0.020145,0.0015133804092685665,0.017455887411429803,0.31280450000000004,20
Control (0),0.0,25,0.0198815,0.0014635359623726006,0.01844590528358867,0.322967,20
Control (0),0.0,26,0.019785,0.0013134269158038047,0.01851637133137559,0.30612150000000005,20
Control (0),0.0,27,0.019436500000000002,0.0012909621615801057,0.01722944039788514,0.30846450000000003,20
Control (0),0.0,28,0.019896,0.001404899958978162,0.017127361375951895,0.3056755,20
Control (0),0.0,29,0.019775,0.0014708061699196411,0.016901853329619274,0.314409,20
Control (0),0.0,30,0.018675,0.0012537813332391527,0.01665627657507049,0.3179015,20
Control (0),0.0,31,0.0180755,0.0011764047537887808,0.016365726931079162,0.320751,20
Control (0),0.0,32,0.0179365,0.0012889037110334462,0.016445291775335526,0.31149499999999997,20
Control (0),0.0,33,0.018012,0.0011575795073296147,0.01683338539822259,0.3110125,20
Control (0),0.0,34,0.0190545,0.001253920688123959,0.016963602842700997,0.3262385,20
Control (0),0.0,35,0.019457,0.001359547544705881,0.018263082379218594,0.3212925,20
Control (0),0.0,36,0.0201785,0.0012862479655755994,0.01875616963687413,0.3243655,20
Control (0),0.0,37,0.0205925,0.001376055934259406,0.0193513819913507,0.311192,20
Control (0),0.0,38,0.01984,0.0012832235314156873,0.019198933672054188,0.31380949999999996,20
Control (0),0.0,39,0.0194295,0.0014237954234702177,0.018880665655706296,0.3141665,20
Control (0),0.0,40,0.0196695,0.0012648583184647496,0.019162432229824593,0.3171405,20
Control (0),0.0,41,0.0196555,0.0012992887679925424,0.01925590735254395,0.31883399999999995,20
Control (0),0.0,42,0.020244,0.0015231982281060017,0.018991530873453878,0.31577700000000003,20
Control (0),0.0,43,0.0192215,0.0013922161952119815,0.01921119718924201,0.3272675,20
Control (0),0.0,44,0.0194275,0.0012870445285307933,0.020014632531321734,0.309931,20
Control (0),0.0,45,0.019582,0.0012113938470338947,0.020048319361500266,0.3195595,20
Control (0),0.0,46,0.021221,0.0011426361257152139,0.020255241916126848,0.325905,20
Control (0),0.0,47,0.021721999999999998,0.001367745859742264,0.01946962485260812,0.304376,20
Control (0),0.0,48,0.0221,0.0011957765589554635,0.01986003872554259,0.313247,20
Control (0),0.0,49,0.021721,0.0013329821927977091,0.01939278713473188,0.3078745,20
Control (0),0.0,50,0.02189,0.0012017653681147583,0.01978193291535649,0.320422,20
Control (0),0.0,51,0.022198000000000002,0.0013682277434311646,0.019069230376578823,0.3133015,20
Control (0),0.0,52,0.0212075,0.0013829265069714336,0.01901087657702434,0.3056715,20
Control (0),0.0,53,0.021518000000000002,0.001613304324083111,0.018866671459071723,0.30731549999999996,20
Control (0),0.0,54,0.022378500000000003,0.0015194629028567608,0.020015813295974925,0.312997,20
