condition,abeta_uM,time_hours,nfkb_mean,nfkb_sem,nfkb_within_cell_std,phagocytosis_mean,n
Control (0),0.0,55,0.021670000000000002,0.0015699716725570494,0.018910637635022435,0.317419,20
Control (0),0.0,56,0.022074,0.0015784596755598229,0.019765837227388807,0.31893950000000004,20
Control (0),0.0,57,0.022164,0.0015884536340001938,0.020419161707438314,0.3111025,20
Control (0),0.0,58,0.021155,0.0015876943726840602,0.020723359720866828,0.31145900000000004,20
Control (0),0.0,59,0.0215265,0.0013886218603538659,0.02067235862085065,0.3116995,20
Control (0),0.0,60,0.020865500000000002,0.0014974570506098171,0.019938488938056158,0.31890399999999997,20
Control (0),0.0,61,0.0215535,0.0016182682873986005,0.019817578548969046,0.3191415,20
Control (0),0.0,62,0.0219005,0.0015472754449779066,0.02004440926197352,0.315333,20
Control (0),0.0,63,0.021596499999999998,0.0015801381143831432,0.01906522039124498,0.310489,20
Control (0),0.0,64,0.021799,0.0016250444366393893,0.019103318484163724,0.3134615,20
Control (0),0.0,65,0.0214105,0.0014443194491014209,0.019287151746441474,0.3189325,20
Control (0),0.0,66,0.021073500000000002,0.0013240349564076748,0.018538604345752073,0.3163145,20
Control (0),0.0,67,0.021599,0.0013650814319261227,0.0194649389236544,0.321214,20
Control (0),0.0,68,0.020857,0.0014480377103260522,0.018413543215941373,0.312453,20
Control (0),0.0,69,0.0211255,0.0015170793399437651,0.01901780224234741,0.31765750000000004,20
Control (0),0.0,70,0.0217225,0.001747181772093803,0.01960626099261501,0.310493,20
Control (0),0.0,71,0.022293,0.0016414220567608601,0.02032274256186661,0.3134355,20
Control (0),0.0,72,0.021883000000000003,0.0012211446528392512,0.02086008098909229,0.3192545,20
Control (0),0.0,73,0.021814,0.0013272497087864377,0.020105610568770436,0.320559,20
Control (0),0.0,74,0.0235785,0.0013683380766847289,0.01978566942425252,0.3160655,20
Control (0),0.0,75,0.022754,0.0014368174626766723,0.01854666333813899,0.3136555,20
Control (0),0.0,76,0.023229,0.001241064038383363,0.017871263603692556,0.3245135,20
Control (0),0.0,77,0.022519,0.0012250198494632434,0.01715562957100896,0.3210905,20
Control (0),0.0,78,0.0222365,0.00123825541005332,0.01711874290700765,0.3154205,20
Control (0),0.0,79,0.0214235,0.0010357588814614701,0.01704802723978347,0.3168695,20
Control (0),0.0,80,0.020796500000000002,0.0008470305018431341,0.01795419148309095,0.31671,20
Control (0),0.0,81,0.021065,0.0009497272461634779,0.01714663457438188,0.3192925,20
Control (0),0.0,82,0.0211305,0.0010699607653898737,0.017315422976713152,0.3236255,20
Control (0),0.0,83,0.0214875,0.001059420863391633,0.017738427115599024,0.312462,20
Control (0),0.0,84,0.021097499999999998,0.0010347302915812355,0.017334580942728373,0.3160275,20
Control (0),0.0,85,0.021169,0.0011382053972441835,0.018373538728762382,0.309446,20
Control (0),0.0,86,0.020255500000000003,0.0012103656417967697,0.01835697232726436,0.32628599999999996,20
Control (0),0.0,87,0.0190775,0.001031155426285434,0.0169770379287269,0.31634450000000003,20
Control (0),0.0,88,0.0196425,0.0011515764652263252,0.018328950201332607,0.319863,20
Control (0),0.0,89,0.0201215,0.0011950437725962394,0.01803632373431391,0.30152450000000003,20
Control (0),0.0,90,0.021889,0.0012288256910348875,0.01806392688326449,0.317315,20
Control (0),0.0,91,0.021967499999999997,0.001303555032856001,0.01854574137148715,0.31833049999999996,20
Control (0),0.0,92,0.0212885,0.0012170026326572745,0.018388290466052094,0.3331965,20
Control (0),0.0,93,0.021798,0.0011348662337126135,0.017979487399432132,0.3183105,20
Control (0),0.0,94,0.0218525,0.0013503934855402233,0.01864477192287837,0.319178,20
Control (0),0.0,95,0.0211005,0.001530674339698202,0.01867309986729808,0.31217100000000003,20
Control (0),0.0,96,0.020819,0.0015052576104056777,0.019424851113188726,0.3150535,20
Control (0),0.0,97,0.021773999999999998,0.0014931771848187198,0.01843837316051613,0.311005,20
Control (0),0.0,98,0.0222585,0.0014064206668366556,0.01891911983773485,0.3241925,20
Control (0),0.0,99,0.0222665,0.0012984700055308006,0.018313345671734343,0.31367350000000005,20
Control (0),0.0,100,0.0221765,0.0012002662588381223,0.01867966626701665,0.32120699999999996,20
High (1.5),1.5,0,0.0,0.0,0.0,0.3,20
High (1.5),1.5,1,0.1518575,0.0027395288564392153,0.011899492497452934,0.3355685,20
High (1.5),1.5,2,0.2958,0.0049594851706497465,0.01584520080183476,0.3623915,20
High (1.5),1.5,3,0.4328075,0.007475088166176051,0.02025252469040883,0.356014,20
High (1.5),1.5,4,0.5622860000000001,0.009626163590635903,0.023285714098735946,0.3195,20
High (1.5),1.5,5,0.6871674999999999,0.012030770152426914,0.02492731469886498,0.2532845,20
High (1.5),1.5,6,0.8039795,0.014024543832998067,0.026454522834621012,0.2004455,20
High (1.5),1.5,7,0.9131940000000001,0.015012173944046735,0.023037474220839703,0.23406500000000002,20
High (1.5),1.5,8,0.974325,0.010416018723707798,0.009460840087762134,0.230124,20
High (1.5),1.5,9,0.9940424999999999,0.004150210830091715,0.0032758730821966903,0.18695699999999998,20
High (1.5),1.5,10,0.999506,0.0004940000000000055,0.0006437597895695799,0.21209850000000002,20
High (1.5),1.5,11,1.0,0.0,0.0,0.2261775,20
High (1.5),1.5,12,1.0,0.0,0.0,0.21262799999999998,20
High (1.5),1.5,13,1.0,0.0,0.0,0.2259615,20
High (1.5),1.5,14,1.0,0.0,0.0,0.2149905,20
High (1.5),1.5,15,1.0,0.0,0.0,0.2076825,20
High (1.5),1.5,16,1.0,0.0,0.0,0.229494,20
High (1.5),1.5,17,1.0,0.0,0.0,0.2389195,20
High (1.5),1.5,18,1.0,0.0,0.0,0.2110015,20
High (1.5),1.5,19,1.0,0.0,0.0,0.19981500000000002,20
High (1.5),1.5,20,1.0,0.0,0.0,0.2045945,20
High (1.5),1.5,21,1.0,0.0,0.0,0.1965385,20
High (1.5),1.5,22,1.0,0.0,0.0,0.22356600000000001,20
High (1.5),1.5,23,1.0,0.0,0.0,0.20086900000000002,20
High (1.5),1.5,24,1.0,0.0,0.0,0.2065875,20
High (1.5),1.5,25,1.0,0.0,0.0,0.20006249999999998,20
High (1.5),1.5,26,1.0,0.0,0.0,0.21409150000000002,20
High (1.5),1.5,27,1.0,0.0,0.0,0.22167949999999997,20
High (1.5),1.5,28,1.0,0.0,0.0,0.21934700000000001,20
High (1.5),1.5,29,1.0,0.0,0.0,0.187609,20
High (1.5),1.5,30,1.0,0.0,0.0,0.21527250000000003,20
High (1.5),1.5,31,1.0,0.0,0.0,0.20634999999999998,20
High (1.5),1.5,32,1.0,0.0,0.0,0.2145085,20
High (1.5),1.5,33,1.0,0.0,0.0,0.2299635,20
High (1.5),1.5,34,1.0,0.0,0.0,0.182128,20
High (1.5),1.5,35,1.0,0.0,0.0,0.20960450000000003,20
High (1.5),1.5,36,1.0,0.0,0.0,0.1932085,20
High (1.5),1.5,37,1.0,0.0,0.0,0.2111075,20
High (1.5),1.5,38,1.0,0.0,0.0,0.219863,20
High (1.5),1.5,39,1.0,0.0,0.0,0.2057255,20
High (1.5),1.5,40,1.0,0.0,0.0,0.239216,20
High (1.5),1.5,41,1.0,0.0,0.0,0.190547,20
High (1.5),1.5,42,1.0,0.0,0.0,0.20080599999999998,20
High (1.5),1.5,43,1.0,0.0,0.0,0.1830235,20
High (1.5),1.5,44,1.0,0.0,0.0,0.188867,20
High (1.5),1.5,45,1.0,0.0,0.0,0.20943550000000002,20
High (1.5),1.5,46,1.0,0.0,0.0,0.238284,20
High (1.5),1.5,47,1.0,0.0,0.0,0.2000515,20
High (1.5),1.5,48,1.0,0.0,0.0,0.2158175,20
High (1.5),1.5,49,1.0,0.0,0.0,0.2099355,20
High (1.5),1.5,50,1.0,0.0,0.0,0.1985615,20
High (1.5),1.5,51,1.0,0.0,0.0,0.18472300000000003,20
High (1.5),1.5,52,1.0,0.0,0.0,0.204856,20
High (1.5),1.5,53,1.0,0.0,0.0,0.21668950000000003,20
High (1.5),1.5,54,1.0,0.0,0.0,0.1951585,20
High (1.5),1.5,55,1.0,0.0,0.0,0.2144895,20
High (1.5),1.5,56,1.0,0.0,0.0,0.21656499999999998,20
High (1.5),1.5,57,1.0,0.0,0.0,0.239256,20
High (1.5),1.5,58,1.0,0.0,0.0,0.1999155,20
High (1.5),1.5,59,1.0,0.0,0.0,0.21493099999999998,20
High (1.5),1.5,60,1.0,0.0,0.0,0.22606199999999999,20
High (1.5),1.5,61,1.0,0.0,0.0,0.21528,20
High (1.5),1.5,62,1.0,0.0,0.0,0.2291165,20
High (1.5),1.5,63,1.0,0.0,0.0,0.193133,20
High (1.5),1.5,64,1.0,0.0,0.0,0.2201325,20
High (1.5),1.5,65,1.0,0.0,0.0,0.21634099999999998,20
High (1.5),1.5,66,1.0,0.0,0.0,0.21879900000000002,20
High (1.5),1.5,67,1.0,0.0,0.0,0.2127925,20
High (1.5),1.5,68,1.0,0.0,0.0,0.21439599999999998,20
High (1.5),1.5,69,1.0,0.0,0.0,0.1939705,20
High (1.5),1.5,70,1.0,0.0,0.0,0.2149195,20
High (1.5),1.5,71,1.0,0.0,0.0,0.187133,20
High (1.5),1.5,72,1.0,0.0,0.0,0.192748,20
High (1.5),1.5,73,1.0,0.0,0.0,0.23448599999999997,20
High (1.5),1.5,74,1.0,0.0,0.0,0.2032755,20
High (1.5),1.5,75,1.0,0.0,0.0,0.191798,20
High (1.5),1.5,76,1.0,0.0,0.0,0.21742599999999998,20
High (1.5),1.5,77,1.0,0.0,0.0,0.1738925,20
High (1.5),1.5,78,1.0,0.0,0.0,0.199246,20
High (1.5),1.5,79,1.0,0.0,0.0,0.207056,20
High (1.5),1.5,80,1.0,0.0,0.0,0.1903325,20
High (1.5),1.5,81,1.0,0.0,0.0,0.1933775,20
High (1.5),1.5,82,1.0,0.0,0.0,0.20824199999999998,20
High (1.5),1.5,83,1.0,0.0,0.0,0.2404995,20
High (1.5),1.5,84,1.0,0.0,0.0,0.2295405,20
High (1.5),1.5,85,1.0,0.0,0.0,0.214743,20
High (1.5),1.5,86,1.0,0.0,0.0,0.20144299999999998,20
High (1.5),1.5,87,1.0,0.0,0.0,0.200461,20
High (1.5),1.5,88,1.0,0.0,0.0,0.193136,20
High (1.5),1.5,89,1.0,0.0,0.0,0.2143825,20
High (1.5),1.5,90,1.0,0.0,0.0,0.23564599999999997,20
High (1.5),1.5,91,1.0,0.0,0.0,0.199482,20
High (1.5),1.5,92,1.0,0.0,0.0,0.2208335,20
High (1.5),1.5,93,1.0,0.0,0.0,0.2029375,20
High (1.5),1.5,94,1.0,0.0,0.0,0.22026149999999997,20
High (1.5),1.5,95,1.0,0.0,0.0,0.206766,20
High (1.5),1.5,96,1.0,0.0,0.0,0.20659999999999998,20
High (1.5),1.5,97,1.0,0.0,0.0,0.2289935,20
High (1.5),1.5,98,1.0,0.0,0.0,0.213509,20
High (1.5),1.5,99,1.0,0.0,0.0,0.21033399999999997,20
High (1.5),1.5,100,1.0,0.0,0.0,0.204765,20
Low (0.3),0.3,0,0.0,0.0,0.0,0.3,20
Low (0.3),0.3,1,0.029158499999999997,0.0008309503991150576,0.009412325034427692,0.3161905,20
Low (0.3),0.3,2,0.0578085,0.0012702343909274136,0.01227681434928019,0.3131295,20
Low (0.3),0.3,3,0.084856,0.001956931862837711,0.016428298384568947,0.30798549999999997,20
Low (0.3),0.3,4,0.11136850000000001,0.0024280457026609947,0.01773519463560316,0.3207285,20
Low (0.3),0.3,5,0.137612,0.0031708658621564982,0.020625681551682134,0.3215255,20
Low (0.3),0.3,6,0.16032649999999998,0.0035642398816873315,0.02182599064575053,0.3378065,20
Low (0.3),0.3,7,0.181915,0.003640780316881186,0.022562862286633092,0.341418,20
Low (0.3),0.3,8,0.203619,0.0037627655632806204,0.02360305577308982,0.338363,20
Low (0.3),0.3,9,0.2248405,0.003861633447335329,0.02341736846387387,0.3369355,20
Low (0.3),0.3,10,0.24508199999999997,0.004303964304782522,0.02445044294756187,0.32996,20
Low (0.3),0.3,11,0.2624295,0.00465594664889627,0.02479687945491974,0.353376,20
Low (0.3),0.3,12,0.2797845,0.005124020701044916,0.02494515855862339,0.350868,20
Low (0.3),0.3,13,0.2961005,0.005397473944989647,0.026204132804807195,0.3521575,20
Low (0.3),0.3,14,0.312176,0.005765022499613737,0.027023531899350244,0.34631,20
Low (0.3),0.3,15,0.3273385,0.005778250157407426,0.028421678024131442,0.359267,20
Low (0.3),0.3,16,0.34103150000000004,0.006016238214199965,0.028208800343899165,0.378235,20
Low (0.3),0.3,17,0.3561505,0.006418410545782385,0.02858432790472685,0.3616685,20
Low (0.3),0.3,18,0.36933699999999997,0.006713479492389684,0.029027513918305,0.347559,20
Low (0.3),0.3,19,0.3809985,0.007183157357208668,0.02913564277814452,0.370592,20
Low (0.3),0.3,20,0.392998,0.007455041056754464,0.030257674258542505,0.370365,20
Low (0.3),0.3,21,0.40519099999999997,0.007778988193575659,0.02928750541649954,0.34574499999999997,20
Low (0.3),0.3,22,0.416205,0.008017346210758138,0.029298207928339405,0.3844705,20
Low (0.3),0.3,23,0.42748600000000003,0.008550092686478225,0.031071572525749696,0.338462,20
Low (0.3),0.3,24,0.4369395,0.00905657947731633,0.031891719686182776,0.339608,20
Low (0.3),0.3,25,0.44617399999999996,0.00943208559288872,0.030693705828562047,0.3700415,20
Low (0.3),0.3,26,0.45494899999999994,0.00971174985316891,0.028786372680495463,0.3348405,20
Low (0.3),0.3,27,0.46297699999999997,0.00971038795636703,0.02962274309828746,0.388387,20
Low (0.3),0.3,28,0.4721895,0.01012654158439723,0.030397543868336596,0.363626,20
Low (0.3),0.3,29,0.4817095,0.010347927442500893,0.031547097730502766,0.351727,20
Low (0.3),0.3,30,0.48992399999999997,0.011035739485870435,0.030474136598972506,0.36059549999999996,20
Low (0.3),0.3,31,0.4965345,0.01112991685491713,0.0304170488680501,0.3571625,20
Low (0.3),0.3,32,0.5040950000000001,0.011539755094090122,0.03194247707516493,0.353395,20
Low (0.3),0.3,33,0.5102415,0.011513090039168457,0.032520408353495976,0.3855645,20
Low (0.3),0.3,34,0.517161,0.011873400056207023,0.03298374116137949,0.3552765,20
Low (0.3),0.3,35,0.5234885,0.012176366286138513,0.03250578403558006,0.3486245,20
Low (0.3),0.3,36,0.5299389999999999,0.012398844574776864,0.03193356333759255,0.34583949999999997,20
Low (0.3),0.3,37,0.535185,0.012797025528161652,0.032202497106634025,0.3253575,20
Low (0.3),0.3,38,0.540521,0.01312374041875819,0.032316687480045125,0.322282,20
Low (0.3),0.3,39,0.545266,0.013305120134349549,0.032833619049021226,0.32625899999999997,20
Low (0.3),0.3,40,0.548597,0.013388972860647597,0.03328362391690892,0.35712700000000003,20
Low (0.3),0.3,41,0.5530085,0.013688793693248349,0.03362362702843248,0.318605,20
Low (0.3),0.3,42,0.557088,0.01379708521086209,0.033289064903692336,0.337711,20
Low (0.3),0.3,43,0.561432,0.013942350224745955,0.03391234078411813,0.34498949999999995,20
Low (0.3),0.3,44,0.564703,0.01390862922414487,0.034016494829866586,0.3219055,20
Low (0.3),0.3,45,0.566729,0.01385723753323986,0.03499928002425989,0.2929775,20
Low (0.3),0.3,46,0.5711554999999999,0.014162035972330353,0.03498742833982046,0.30067049999999995,20
Low (0.3),0.3,47,0.5739,0.01422971089324246,0.035078885666107375,0.304166,20
Low (0.3),0.3,48,0.5763465,0.014616827546124977,0.03425570762800924,0.308311,20
Low (0.3),0.3,49,0.5776075,0.014914671298228816,0.034263253793190965,0.306381,20
Low (0.3),0.3,50,0.580163,0.015068181291086615,0.03418415182297804,0.29697399999999996,20
Low (0.3),0.3,51,0.5828945,0.015457617717913649,0.03374824281426906,0.30327699999999996,20
Low (0.3),0.3,52,0.584644,0.015872764880365625,0.03396941455199017,0.320392,20
Low (0.3),0.3,53,0.5872745,0.015874481499613746,0.03315837164227729,0.2823295,20
Low (0.3),0.3,54,0.5898155,0.01599632257862643,0.03179875685875582,0.3102275,20
Low (0.3),0.3,55,0.591831,0.016254754266464867,0.034072953172220595,0.2930615,20
Low (0.3),0.3,56,0.5943305,0.01653348680827712,0.034010367193989255,0.3069785,20
Low (0.3),0.3,57,0.5976655,0.01652323134057653,0.034120677718734456,0.287698,20
Low (0.3),0.3,58,0.5995205,0.01702239340081486,0.033614817171695885,0.263957,20
Low (0.3),0.3,59,0.6010415,0.017008703349121624,0.034482688578179,0.294479,20
Low (0.3),0.3,60,0.6024275,0.017158922427751078,0.03463089253754989,0.2546685,20
Low (0.3),0.3,61,0.6035515,0.017206691878681814,0.033889442107212515,0.3004,20
Low (0.3),0.3,62,0.607071,0.01745147330381261,0.03368534695966391,0.30269599999999997,20
Low (0.3),0.3,63,0.607923,0.017465805737286542,0.03431280910518793,0.2782075,20
Low (0.3),0.3,64,0.609785,0.01722372677289583,0.03341205085645001,0.2650315,20
Low (0.3),0.3,65,0.610551,0.01757764622438037,0.03310067045783885,0.2957025,20
Low (0.3),0.3,66,0.6104849999999999,0.01757647380209664,0.031676423485743274,0.2998955,20
Low (0.3),0.3,67,0.6116665,0.01773792094971733,0.03084479067449422,0.267495,20
Low (0.3),0.3,68,0.6136805,0.017842122609077887,0.03036113139692583,0.2895,20
Low (0.3),0.3,69,0.61488,0.017986147081632164,0.03021099337864442,0.267098,20
Low (0.3),0.3,70,0.616128,0.017972495720434953,0.031065008487173723,0.2762905,20
Low (0.3),0.3,71,0.6181135,0.01819941646367875,0.03247100527780723,0.252209,20
Low (0.3),0.3,72,0.6189454999999999,0.018405660935172263,0.03271960878149053,0.2722385,20
Low (0.3),0.3,73,0.6194225,0.01863584840364624,0.03219311484249076,0.2764545,20
Low (0.3),0.3,74,0.620005,0.018827598576501858,0.03198215642127678,0.2761435,20
Low (0.3),0.3,75,0.620738,0.019080799988745917,0.03077829724610915,0.2726895,20
Low (0.3),0.3,76,0.6220614999999999,0.0195183036131271,0.03100917036304674,0.2615215,20
Low (0.3),0.3,77,0.6230785,0.019591454988483865,0.0316498571401092,0.2785975,20
Low (0.3),0.3,78,0.623657,0.01973902170694811,0.03086711295984502,0.27415449999999997,20
Low (0.3),0.3,79,0.6243325000000001,0.019759724532958982,0.02999604776258033,0.2649915,20
Low (0.3),0.3,80,0.6251025,0.019897595661086925,0.03028120980589986,0.284961,20
Low (0.3),0.3,81,0.626165,0.019754059815909393,0.030655644343673592,0.2579,20
Low (0.3),0.3,82,0.625999,0.019762592692948167,0.03249172744228076,0.26566,20
Low (0.3),0.3,83,0.6260735000000001,0.01964819639874572,0.03170789268953249,0.2711125,20
Low (0.3),0.3,84,0.6268589999999999,0.01959215747905806,0.03208946994727489,0.277844,20
Low (0.3),0.3,85,0.62676,0.019598778600504137,0.03217053342856134,0.2659735,20
Low (0.3),0.3,86,0.6267435,0.019694373525598358,0.031788110002070546,0.248903,20
Low (0.3),0.3,87,0.627794,0.019737158322098415,0.03142819150806176,0.29139550000000003,20
Low (0.3),0.3,88,0.6285395,0.01978128965082914,0.0325741024748175,0.273426,20
Low (0.3),0.3,89,0.628634,0.01959993723674161,0.03296327212370687,0.2697395,20
Low (0.3),0.3,90,0.629699,0.019633186068759346,0.03273169536904979,0.2737795,20
Low (0.3),0.3,91,0.6289755,0.019871245100117594,0.033652487748687954,0.2969615,20
Low (0.3),0.3,92,0.6288475,0.019688574029183316,0.033416119461711476,0.26522,20
Low (0.3),0.3,93,0.6295455,0.01994520907353047,0.03361532730815958,0.266216,20
Low (0.3),0.3,94,0.6295080000000001,0.019929622525276292,0.03257505912581685,0.271014,20
Low (0.3),0.3,95,0.630557,0.01985682400401222,0.03362036322718616,0.2627455,20
Low (0.3),0.3,96,0.6313845,0.019844872020578965,0.03391666595961316,0.26528399999999996,20
Low (0.3),0.3,97,0.63175,0.019807527317185564,0.033247697926970445,0.2565975,20
Low (0.3),0.3,98,0.6317845,0.020006557865320584,0.03359364534476188,0.241894,20
Low (0.3),0.3,99,0.632459,0.020039945068997093,0.033675307069422046,0.270211,20
Low (0.3),0.3,100,0.6325075,0.02007773279393708,0.03285104330664698,0.292025,20
Medium (0.65),0.65,0,0.0,0.0,0.0,0.3,20
Medium (0.65),0.65,1,0.066925,0.0014232404649435143,0.011218200194723754,0.3088595,20
Medium (0.65),0.65,2,0.13145500000000002,0.002607210093890442,0.015331411411467086,0.33941150000000003,20
Medium (0.65),0.65,3,0.19050050000000002,0.0035789553367751845,0.017643440174143175,0.322525,20
Medium (0.65),0.65,4,0.24679600000000002,0.004413867107435979,0.020035267019355218,0.32884250000000004,20
Medium (0.65),0.65,5,0.3013515,0.005236810111579075,0.021061875883989552,0.35952100000000003,20
Medium (0.65),0.65,6,0.3528155,0.006226576168032941,0.022502287652082786,0.336835,20
Medium (0.65),0.65,7,0.400753,0.0070072259733867034,0.02303881402720358,0.36836349999999995,20
Medium (0.65),0.65,8,0.446361,0.00814681748970273,0.024466154494907865,0.3696825,20
Medium (0.65),0.65,9,0.491073,0.009069726395803617,0.02359728187742932,0.3669845,20
Medium (0.65),0.65,10,0.532198,0.009544466007505139,0.025438017532096468,0.34404650000000003,20
Medium (0.65),0.65,11,0.5715625,0.010387127024781556,0.026422369896813135,0.286537,20
Medium (0.65),0.65,12,0.60895,0.011047297192669248,0.02721706077917675,0.25567799999999996,20
Medium (0.65),0.65,13,0.6451195000000001,0.011634997240064815,0.02853337236853561,0.24897550000000002,20
Medium (0.65),0.65,14,0.6780735,0.012232879556751957,0.028806830430121045,0.24550299999999997,20
Medium (0.65),0.65,15,0.709326,0.013156048066833827,0.02862479604280635,0.2156835,20
Medium (0.65),0.65,16,0.7419275,0.01359618907277446,0.02955940533742696,0.2396655,20
Medium (0.65),0.65,17,0.7711585000000001,0.014363527830017389,0.02926969519610654,0.2334175,20
Medium (0.65),0.65,18,0.800965,0.014996246030257038,0.030398274085515525,0.20707750000000003,20
Medium (0.65),0.65,19,0.8286994999999999,0.015428547198976727,0.028774763339243538,0.1955215,20
Medium (0.65),0.65,20,0.8534225,0.015282875622821499,0.02977066574505201,0.191345,20
Medium (0.65),0.65,21,0.876444,0.015253995635311598,0.030270448720596393,0.216596,20
Medium (0.65),0.65,22,0.898597,0.015438572730254842,0.030268777160261263,0.1961275,20
Medium (0.65),0.65,23,0.918004,0.015327895440391644,0.027810397511978384,0.21582400000000002,20
Medium (0.65),0.65,24,0.934065,0.015013452607928872,0.024211789022545276,0.2182715,20
Medium (0.65),0.65,25,0.9462405,0.014533781437794466,0.020953707912327937,0.191001,20
Medium (0.65),0.65,26,0.956723,0.013677677590262095,0.0168623019247055,0.19324049999999998,20
Medium (0.65),0.65,27,0.9645785,0.01247924958259658,0.01417850141299155,0.2146865,20
Medium (0.65),0.65,28,0.9709945,0.0111722241689638,0.013080752410780095,0.2090435,20
Medium (0.65),0.65,29,0.9757564999999999,0.009950588537870512,0.012628486956129439,0.192161,20
