abeta_uM,time_hours,viability_mean,viability_sem,viability_std,calcium_mean,tau_mean,n
0.0,0,0.9899749999999999,0.0024390342674703723,0.010907692843030309,0.098195,0.0,20
0.0,1,0.989765,0.0024391248969984924,0.010908098150601576,0.09958,0.001985,20
0.0,2,0.989355,0.0024348616625569216,0.01088903238657087,0.10047999999999999,0.003925,20
0.0,3,0.9887650000000001,0.002439912369004481,0.010911619832473156,0.10110000000000001,0.0058249999999999994,20
0.0,4,0.987965,0.0024372468829441645,0.010899699416425237,0.10153000000000001,0.00769,20
0.0,5,0.98701,0.002442387744551802,0.010922690048460474,0.10179,0.00949,20
0.0,6,0.985835,0.002447257057454969,0.010944466277770857,0.10198499999999999,0.011260000000000001,20
0.0,7,0.9844899999999999,0.002455261804027384,0.010980264592728021,0.10210999999999999,0.01297,20
0.0,8,0.982985,0.0024668888887571915,0.011032262496399986,0.10221,0.014624999999999999,20
0.0,9,0.9813050000000001,0.0024811656322657792,0.011096110034365057,0.10225999999999999,0.016245000000000002,20
0.0,10,0.9794600000000001,0.0025012565263335786,0.011185959244093742,0.10232000000000001,0.017830000000000002,20
0.0,11,0.9774749999999999,0.002523582197049097,0.011285802678820093,0.10235000000000001,0.01934,20
0.0,12,0.9753149999999999,0.0025487899605808836,0.011398535224455705,0.102375,0.020825,20
0.0,13,0.97301,0.0025820626189968863,0.011547335076476399,0.10239000000000001,0.022255,20
0.0,14,0.97057,0.0026183371581376224,0.011709559747218684,0.10241,0.023655000000000002,20
0.0,15,0.9679800000000001,0.00265916092820748,0.011892129197166689,0.102405,0.025019999999999997,20
0.0,16,0.96526,0.002706856790487913,0.012105431577775765,0.10241,0.026334999999999997,20
0.0,17,0.962415,0.0027612952243086003,0.012348887654999132,0.10242500000000002,0.027610000000000003,20
0.0,18,0.9594150000000001,0.0028204355300108113,0.01261337114251961,0.10243500000000001,0.028865000000000002,20
0.0,19,0.9563050000000001,0.002886962298989972,0.012910887898041337,0.10243500000000001,0.030070000000000003,20
0.0,20,0.9530799999999999,0.0029556422402976282,0.01321803393295052,0.10244,0.031245000000000002,20
0.0,21,0.9497450000000001,0.0030380869586667594,0.013586737922268943,0.10244500000000001,0.032375,20
0.0,22,0.946275,0.0031227423423718656,0.013965328307520822,0.10244500000000001,0.03347,20
0.0,23,0.9427099999999999,0.0032172880047119145,0.014388149363460988,0.10244500000000001,0.034570000000000004,20
0.0,24,0.93903,0.003315800292380011,0.014828709707150771,0.10244500000000001,0.0356,20
0.0,25,0.935225,0.00341899396560481,0.015290205843507832,0.10244500000000001,0.03661,20
0.0,26,0.9313499999999999,0.0035295332925413675,0.015784552741942272,0.10244500000000001,0.03759,20
0.0,27,0.927375,0.003648661434438375,0.016317309988572212,0.10245,0.038545,20
0.0,28,0.923275,0.003775006971063623,0.016882344405667684,0.102455,0.03947,20
0.0,29,0.9191,0.003904059965026964,0.017459486940071507,0.10245,0.04037,20
0.0,30,0.9148350000000001,0.004042454146470408,0.018078404534867462,0.10245,0.041245,20
0.0,31,0.910495,0.004181421786652805,0.018699886715108582,0.10245,0.042085,20
0.0,32,0.906045,0.004327996224096025,0.01935538752688226,0.10245,0.04292,20
0.0,33,0.901535,0.004483069173069529,0.020048894837634466,0.10245,0.043715,20
0.0,34,0.8969250000000001,0.004639741797489209,0.02074955611446586,0.10245,0.044495,20
0.0,35,0.892245,0.004798856634657885,0.02146113929874182,0.10245,0.04525,20
0.0,36,0.8875,0.0049687126364037085,0.022220758431321787,0.10245,0.045985,20
0.0,37,0.88268,0.005140620482720778,0.022989553691782887,0.10245,0.046695,20
0.0,38,0.87776,0.0053208695371695525,0.0237956519690379,0.10245,0.04739,20
0.0,39,0.8728,0.005501310848573421,0.024602610045534445,0.10245,0.048049999999999995,20
0.0,40,0.86776,0.005687731024804731,0.02543630641839584,0.10245,0.048709999999999996,20
0.0,41,0.862665,0.005876529028351057,0.026280636758287516,0.10245,0.04934,20
0.0,42,0.85749,0.006070124857815831,0.027146423627974883,0.10245,0.049955,20
0.0,43,0.852265,0.006270747772919823,0.028043636580008274,0.10245,0.05054499999999999,20
0.0,44,0.84698,0.006471376653346152,0.028940876209774195,0.10245,0.051135,20
0.0,45,0.84163,0.006678177737582076,0.029865718774118557,0.10245,0.0517,20
0.0,46,0.83622,0.006885276434461243,0.03079189230266545,0.10245,0.052239999999999995,20
0.0,47,0.8307650000000001,0.007099485804212195,0.03174986572702646,0.10245,0.052770000000000004,20
0.0,48,0.825255,0.007315727380463487,0.03271692745514564,0.10245,0.053290000000000004,20
0.0,49,0.8196899999999999,0.007539171041964761,0.033716197887662246,0.10245,0.053779999999999994,20
0.0,50,0.8140750000000001,0.0077573356623874,0.03469185973076318,0.10245,0.054279999999999995,20
