condition,abeta_uM,time_hours,calcium_mean,calcium_sem,tau_mean,tau_sem,viability_mean,n
Control,0.0,27,0.098584,0.002709510190732673,0.035344,0.001149705316935376,0.935229,20
Control,0.0,28,0.098584,0.002709510190732673,0.03616,0.0011792057987431515,0.93148,20
Control,0.0,29,0.098584,0.002709510190732673,0.036959,0.0012068405685486119,0.927647,20
Control,0.0,30,0.098584,0.002709510190732673,0.037725999999999996,0.001233581947441122,0.9237299999999999,20
Control,0.0,31,0.098584,0.002709510190732673,0.038481,0.001259627743673336,0.91973,20
Control,0.0,32,0.098584,0.002709510190732673,0.039208,0.0012849127760689685,0.915662,20
Control,0.0,33,0.098584,0.002709510190732673,0.039917,0.00131125273568527,0.9115170000000001,20
Control,0.0,34,0.098583,0.0027098231734891754,0.040595000000000006,0.0013353949740964677,0.9073040000000001,20
Control,0.0,35,0.098582,0.002710136489085684,0.041256,0.0013577741847752537,0.903026,20
Control,0.0,36,0.09858,0.0027107641183369596,0.041902,0.0013816069210200585,0.89868,20
Control,0.0,37,0.09858,0.0027107641183369596,0.04252,0.0014026838935637489,0.8942629999999999,20
Control,0.0,38,0.09858,0.0027107641183369596,0.043124,0.0014256142535763311,0.8897870000000001,20
Control,0.0,39,0.09858,0.0027107641183369596,0.043715,0.001446396520576858,0.885249,20
Control,0.0,40,0.09858,0.0027107641183369596,0.044286,0.0014674669188416945,0.880654,20
Control,0.0,41,0.09858,0.0027107641183369596,0.044835,0.0014874279283734265,0.875998,20
Control,0.0,42,0.09858,0.0027107641183369596,0.04537,0.0015063091875246106,0.871291,20
Control,0.0,43,0.09858,0.0027107641183369596,0.045893,0.0015249388426045846,0.8665330000000001,20
Control,0.0,44,0.09858,0.0027107641183369596,0.046393000000000004,0.0015421074267992726,0.861715,20
Control,0.0,45,0.09858,0.0027107641183369596,0.046884999999999996,0.001562117237328202,0.8568530000000001,20
Control,0.0,46,0.09858,0.0027107641183369596,0.047352,0.001578527895157217,0.851936,20
Control,0.0,47,0.09858,0.0027107641183369596,0.047815,0.0015956347524286047,0.8469760000000001,20
Control,0.0,48,0.09858,0.0027107641183369596,0.048258,0.0016111531666219046,0.8419639999999999,20
Control,0.0,49,0.09858,0.0027107641183369596,0.048688999999999996,0.0016272511370891386,0.8369139999999999,20
Control,0.0,50,0.09858,0.0027107641183369596,0.049108,0.0016430590212674712,0.8318160000000001,20
Control,0.0,51,0.09858,0.0027107641183369596,0.049518,0.0016585668512303026,0.82668,20
Control,0.0,52,0.09858,0.0027107641183369596,0.049906,0.0016731735367888554,0.8214969999999999,20
Control,0.0,53,0.09858,0.0027107641183369596,0.0503,0.001689541825154787,0.816278,20
Control,0.0,54,0.09858,0.0027107641183369596,0.05067200000000001,0.001702855434726902,0.8110240000000001,20
Control,0.0,55,0.09858,0.0027107641183369596,0.051032,0.0017162384817722128,0.805728,20
Control,0.0,56,0.09858,0.0027107641183369596,0.051383,0.0017295714558967004,0.800399,20
Control,0.0,57,0.09858,0.0027107641183369596,0.051715,0.0017419262628662437,0.795035,20
Control,0.0,58,0.09858,0.0027107641183369596,0.052048000000000004,0.0017568125442942036,0.789628,20
Control,0.0,59,0.09858,0.0027107641183369596,0.05236500000000001,0.0017671695328673866,0.784198,20
Control,0.0,60,0.09858,0.0027107641183369596,0.052669,0.0017810549653151317,0.778733,20
Control,0.0,61,0.09858,0.0027107641183369596,0.052974999999999994,0.0017919109910930287,0.773243,20
Control,0.0,62,0.09858,0.0027107641183369596,0.053261,0.001803664967722518,0.7677120000000001,20
Control,0.0,63,0.09858,0.0027107641183369596,0.053546,0.0018150227488787486,0.762161,20
Control,0.0,64,0.09858,0.0027107641183369596,0.05381899999999999,0.0018259333446069077,0.75658,20
Control,0.0,65,0.09858,0.0027107641183369596,0.054086,0.0018354595581144481,0.750964,20
Control,0.0,66,0.09858,0.0027107641183369596,0.054345,0.0018471941025868343,0.745324,20
Control,0.0,67,0.09858,0.0027107641183369596,0.054593,0.001857109964717391,0.739662,20
Control,0.0,68,0.09858,0.0027107641183369596,0.054839000000000006,0.001867257191993816,0.733973,20
Control,0.0,69,0.09858,0.0027107641183369596,0.055071,0.001878063097981535,0.728256,20
Control,0.0,70,0.09858,0.0027107641183369596,0.055303000000000005,0.001886887872160204,0.722521,20
Control,0.0,71,0.09858,0.0027107641183369596,0.055522,0.0018947600320218304,0.716758,20
Control,0.0,72,0.09858,0.0027107641183369596,0.055742,0.0019040255969088784,0.710978,20
Control,0.0,73,0.09858,0.0027107641183369596,0.055945,0.001913433879319146,0.7051740000000001,20
Control,0.0,74,0.09858,0.0027107641183369596,0.056145999999999995,0.001921837990871732,0.699349,20
Control,0.0,75,0.09858,0.0027107641183369596,0.056347,0.0019293834712019713,0.6935070000000001,20
Control,0.0,76,0.09858,0.0027107641183369596,0.056538,0.0019375197927681722,0.687639,20
Control,0.0,77,0.09858,0.0027107641183369596,0.056723,0.0019461217979950738,0.681757,20
Control,0.0,78,0.09858,0.0027107641183369596,0.056903,0.001952848001199651,0.675851,20
Control,0.0,79,0.09858,0.0027107641183369596,0.057078,0.0019602996011619726,0.669928,20
Control,0.0,80,0.09858,0.0027107641183369596,0.057248,0.001967409945775624,0.66399,20
Control,0.0,81,0.09858,0.0027107641183369596,0.057412,0.0019758129039914043,0.658038,20
Control,0.0,82,0.09858,0.0027107641183369596,0.057567999999999994,0.0019835334765593393,0.6520699999999999,20
Control,0.0,83,0.09858,0.0027107641183369596,0.057721999999999996,0.001989044679448429,0.6460779999999999,20
Control,0.0,84,0.09858,0.0027107641183369596,0.05787,0.0019958295993079377,0.640076,20
Control,0.0,85,0.09858,0.0027107641183369596,0.058022,0.002000855553849008,0.634062,20
Control,0.0,86,0.09858,0.0027107641183369596,0.058162000000000005,0.002007398368666846,0.628023,20
Control,0.0,87,0.09858,0.0027107641183369596,0.058295,0.002015021940588398,0.621978,20
Control,0.0,88,0.09858,0.0027107641183369596,0.058426,0.0020196962252044892,0.61592,20
Control,0.0,89,0.09858,0.0027107641183369596,0.058558,0.0020261905661922114,0.609847,20
Control,0.0,90,0.09858,0.0027107641183369596,0.058681000000000004,0.002032275092754812,0.6037589999999999,20
Control,0.0,91,0.09858,0.0027107641183369596,0.058802999999999994,0.002037562152749159,0.597653,20
Control,0.0,92,0.09858,0.0027107641183369596,0.058919,0.002042711033998948,0.59155,20
Control,0.0,93,0.09858,0.0027107641183369596,0.059038,0.002048582513785929,0.585431,20
Control,0.0,94,0.09858,0.0027107641183369596,0.059148,0.002052632917678376,0.579291,20
Control,0.0,95,0.09858,0.0027107641183369596,0.059252000000000006,0.002058778585267948,0.573148,20
Control,0.0,96,0.09858,0.0027107641183369596,0.059361,0.002062768948971771,0.5669850000000001,20
Control,0.0,97,0.09858,0.0027107641183369596,0.059463,0.0020678248296980553,0.560823,20
Control,0.0,98,0.09858,0.0027107641183369596,0.059558,0.0020728296956982317,0.554646,20
Control,0.0,99,0.09858,0.0027107641183369596,0.059648,0.002077685149137705,0.548458,20
Control,0.0,100,0.09858,0.0027107641183369596,0.059748,0.0020821822560401428,0.5422589999999999,20
High_Abeta,2.0,0,0.100319,0.0014849727801864705,0.0,0.0,0.9911939999999999,20
High_Abeta,2.0,1,0.17116800000000001,0.0027349551713828292,0.0032800000000000004,8.256416962135067e-05,0.990856,20
High_Abeta,2.0,2,0.220758,0.004234913508095841,0.007413,0.00018896546607362165,0.9900930000000001,20
High_Abeta,2.0,3,0.25614,0.0055186424722790395,0.012107,0.00031153364268777725,0.988832,20
High_Abeta,2.0,4,0.28154,0.00679062976693465,0.017129,0.000450792226617704,0.9870659999999999,20
High_Abeta,2.0,5,0.30019,0.00794436596125303,0.022363,0.0006008525083929543,0.98475,20
High_Abeta,2.0,6,0.31264400000000003,0.008713190315474822,0.027664,0.0007596461780259764,0.981893,20
High_Abeta,2.0,7,0.32174800000000003,0.009496510871727685,0.032990000000000005,0.000927049081764283,0.97848,20
High_Abeta,2.0,8,0.32771,0.01018489640285271,0.038264,0.00109912750086507,0.974522,20
High_Abeta,2.0,9,0.332747,0.010582822355118695,0.043466,0.0012731189219682834,0.970031,20
High_Abeta,2.0,10,0.33643,0.0112654471726603,0.048597,0.0014549228773194024,0.96501,20
High_Abeta,2.0,11,0.338841,0.011646961517020108,0.053609,0.0016370155611259232,0.959471,20
High_Abeta,2.0,12,0.340518,0.011756914552274067,0.058501000000000004,0.001818523678267911,0.9534290000000001,20
High_Abeta,2.0,13,0.342003,0.01210371680844142,0.063279,0.002001120988477787,0.946889,20
High_Abeta,2.0,14,0.342366,0.012160241436315056,0.067913,0.002179435115127915,0.939879,20
High_Abeta,2.0,15,0.343118,0.012418266164256415,0.072424,0.002358428825789701,0.9324009999999999,20
High_Abeta,2.0,16,0.344196,0.012532940731066313,0.07682,0.002534338074070665,0.924465,20
High_Abeta,2.0,17,0.344692,0.012749353700853765,0.081092,0.002712379960962619,0.9160919999999999,20
High_Abeta,2.0,18,0.344777,0.012702374852551664,0.085247,0.0028850610775255064,0.9073019999999999,20
High_Abeta,2.0,19,0.345288,0.012839775239875745,0.089276,0.0030533986586132266,0.898087,20
High_Abeta,2.0,20,0.345609,0.01303384472703358,0.093192,0.003221068930127324,0.8884740000000001,20
High_Abeta,2.0,21,0.34503399999999995,0.012899084022967636,0.096978,0.003383445114392321,0.878468,20
High_Abeta,2.0,22,0.345406,0.01296751066481556,0.10066699999999999,0.0035429245353461735,0.868085,20
High_Abeta,2.0,23,0.344717,0.012944816745668799,0.10422000000000001,0.0037000199145979006,0.857334,20
High_Abeta,2.0,24,0.345076,0.012877574191307598,0.107675,0.0038506682605272007,0.846223,20
High_Abeta,2.0,25,0.344882,0.012934825362481504,0.11102300000000001,0.004001658675836151,0.8347749999999999,20
High_Abeta,2.0,26,0.344322,0.012861915213037617,0.11426099999999999,0.0041416504401531815,0.822989,20
High_Abeta,2.0,27,0.345017,0.012950479468872345,0.117418,0.004284739849623003,0.8108790000000001,20
High_Abeta,2.0,28,0.345626,0.012931529489869652,0.12049399999999999,0.004424464308936464,0.798449,20
High_Abeta,2.0,29,0.345688,0.012919589483456995,0.123475,0.004557526770426905,0.785721,20
High_Abeta,2.0,30,0.345229,0.013033660993548081,0.126355,0.004691048782970662,0.772694,20
High_Abeta,2.0,31,0.345303,0.01301134818654773,0.12915700000000002,0.004820587270403777,0.759375,20
High_Abeta,2.0,32,0.345085,0.012946933054832552,0.13186900000000001,0.004944801092269057,0.745782,20
High_Abeta,2.0,33,0.34545499999999996,0.01301839191904648,0.13450299999999998,0.005070607827158604,0.7319199999999999,20
High_Abeta,2.0,34,0.345547,0.013087364518979041,0.13706100000000002,0.00519103589195634,0.71779,20
High_Abeta,2.0,35,0.34552,0.013026320399786528,0.139542,0.005307675653438637,0.703401,20
High_Abeta,2.0,36,0.344976,0.012973394929624241,0.141938,0.0054211965857228085,0.688777,20
High_Abeta,2.0,37,0.344727,0.012961146901412698,0.144266,0.005532122672461078,0.673903,20
High_Abeta,2.0,38,0.345385,0.013006999886700682,0.146525,0.005640491929834339,0.658804,20
High_Abeta,2.0,39,0.345677,0.012920184313089752,0.148725,0.005747360011802215,0.6434759999999999,20
High_Abeta,2.0,40,0.345698,0.01297027816120176,0.150865,0.005853004963714207,0.6279250000000001,20
High_Abeta,2.0,41,0.34597500000000003,0.0130748964673369,0.152944,0.0059559932840794905,0.6121730000000001,20
High_Abeta,2.0,42,0.345806,0.0129502601558912,0.15495799999999998,0.006052658728543227,0.5961960000000001,20
High_Abeta,2.0,43,0.34617200000000004,0.012967632775085577,0.156915,0.006150046448262766,0.580028,20
High_Abeta,2.0,44,0.345575,0.012875218863750384,0.15881099999999998,0.00624460735354914,0.5636639999999999,20
High_Abeta,2.0,45,0.344989,0.012893980356005382,0.160631,0.0063349007344858585,0.547115,20
High_Abeta,2.0,46,0.34520300000000004,0.012905048728470982,0.162404,0.006423066262349027,0.530377,20
High_Abeta,2.0,47,0.345377,0.012951943262042106,0.16413,0.006511918546626235,0.513467,20
High_Abeta,2.0,48,0.345756,0.013000857510179856,0.165806,0.006599552153864605,0.496389,20
High_Abeta,2.0,49,0.345424,0.013078383257558212,0.16742300000000002,0.006683584489746423,0.479139,20
High_Abeta,2.0,50,0.345521,0.013094749648940255,0.169002,0.006770324861987209,0.461728,20
High_Abeta,2.0,51,0.346203,0.013026112824468755,0.170535,0.006850361630869149,0.444161,20
High_Abeta,2.0,52,0.345874,0.012969218058642994,0.17202699999999999,0.006930083659402373,0.42644200000000004,20
High_Abeta,2.0,53,0.34514900000000004,0.0129065092084331,0.17346699999999998,0.007007240056579075,0.40857599999999994,20
High_Abeta,2.0,54,0.34493999999999997,0.01288198791458752,0.17485,0.007080599959712008,0.390555,20
High_Abeta,2.0,55,0.344708,0.012925536161128156,0.176187,0.00715134661960139,0.372411,20
High_Abeta,2.0,56,0.344627,0.012750832812842174,0.177482,0.00721761192464217,0.354128,20
High_Abeta,2.0,57,0.345097,0.0126334744377159,0.178755,0.00727931429318362,0.335712,20
High_Abeta,2.0,58,0.345163,0.012751352314249075,0.17998,0.007342327180196524,0.31717399999999996,20
High_Abeta,2.0,59,0.34580700000000003,0.01291973482496326,0.181187,0.007409187934052238,0.298511,20
High_Abeta,2.0,60,0.345491,0.013016557429512209,0.182355,0.007472531576239387,0.27972600000000003,20
High_Abeta,2.0,61,0.345676,0.013086175316762826,0.18349200000000002,0.007540221188993553,0.26083,20
High_Abeta,2.0,62,0.345215,0.013219507903493471,0.184585,0.007606003151943102,0.241817,20
High_Abeta,2.0,63,0.34575100000000003,0.013200052589608154,0.18565399999999999,0.00766910357761652,0.222851,20
High_Abeta,2.0,64,0.345635,0.013154615909894219,0.186691,0.00772994375617858,0.204819,20
High_Abeta,2.0,65,0.34564300000000003,0.013062653415870679,0.18769200000000003,0.007787354310540567,0.186779,20
High_Abeta,2.0,66,0.34529200000000004,0.013104808550982143,0.188664,0.007842660611915079,0.169079,20
High_Abeta,2.0,67,0.344867,0.013078974309937303,0.18959600000000001,0.007895985735602748,0.15246500000000002,20
High_Abeta,2.0,68,0.34473,0.01300197519407603,0.190492,0.007948517028186351,0.137742,20
High_Abeta,2.0,69,0.344999,0.013157398757073203,0.191377,0.008001148374814047,0.12422499999999999,20
High_Abeta,2.0,70,0.34533,0.013106929906692391,0.192237,0.008053176722001664,0.11146700000000001,20
High_Abeta,2.0,71,0.34541,0.013219913726926075,0.193071,0.008104500955447047,0.10025999999999999,20
High_Abeta,2.0,72,0.34531900000000004,0.013295301700818581,0.19388,0.008158570437211863,0.09031600000000001,20
High_Abeta,2.0,73,0.345882,0.01311659277805266,0.194673,0.008209022414392595,0.08156,20
High_Abeta,2.0,74,0.345729,0.013125598490615278,0.19544999999999998,0.008253618855418894,0.073489,20
High_Abeta,2.0,75,0.345962,0.013124670614413225,0.19619999999999999,0.008299408222403886,0.066419,20
High_Abeta,2.0,76,0.346048,0.013018618440728,0.196934,0.008343573650610264,0.059814,20
High_Abeta,2.0,77,0.346584,0.013074193673436476,0.197648,0.008387184886229075,0.053464,20
High_Abeta,2.0,78,0.345779,0.013067298474476376,0.198334,0.008430324224270131,0.048192,20
High_Abeta,2.0,79,0.346041,0.013323682553613833,0.198997,0.008476000704776304,0.043427,20
High_Abeta,2.0,80,0.345603,0.013055014303848315,0.19964200000000001,0.008515944290441006,0.038761000000000004,20
High_Abeta,2.0,81,0.34569799999999995,0.013118946515791981,0.200262,0.008555214341035096,0.034499,20
High_Abeta,2.0,82,0.346163,0.013157892590420876,0.200875,0.00859681702112688,0.030992,20
High_Abeta,2.0,83,0.345291,0.013028250153133827,0.201455,0.008633202964198897,0.028156999999999998,20
High_Abeta,2.0,84,0.345034,0.0129691866481977,0.202014,0.00866814714615346,0.025792,20
High_Abeta,2.0,85,0.344976,0.012879875824834568,0.20255499999999999,0.008700723850710112,0.023703,20
High_Abeta,2.0,86,0.345298,0.012770870134802874,0.20308099999999998,0.008731563973369983,0.021608,20
High_Abeta,2.0,87,0.34485099999999996,0.012824754063508336,0.20359,0.008760424707320509,0.019511,20
High_Abeta,2.0,88,0.34549799999999997,0.012885073608433007,0.20409000000000002,0.008793543265254044,0.017405999999999998,20
High_Abeta,2.0,89,0.34510199999999996,0.012944188689991552,0.204571,0.008822334035962663,0.015299000000000002,20
High_Abeta,2.0,90,0.345402,0.013147914775635275,0.20504799999999998,0.008856245658172245,0.013189000000000001,20
High_Abeta,2.0,91,0.345418,0.01314915733942073,0.20551,0.008891082167276555,0.011074,20
High_Abeta,2.0,92,0.346011,0.012869811389858295,0.20596399999999998,0.008917493346167822,0.008957999999999999,20
High_Abeta,2.0,93,0.345765,0.012870764903863574,0.20640299999999998,0.008942443593395076,0.006863000000000001,20
High_Abeta,2.0,94,0.34614599999999995,0.012917390652262476,0.206832,0.008970163925040906,0.004956,20
High_Abeta,2.0,95,0.34595699999999996,0.012824362692690976,0.207252,0.008994270269688947,0.003134,20
High_Abeta,2.0,96,0.345424,0.012865687012973285,0.207644,0.009021673388947424,0.001711,20
High_Abeta,2.0,97,0.345134,0.012786828593270662,0.208025,0.009044356411306268,0.0008789999999999999,20
High_Abeta,2.0,98,0.345106,0.012630569024978121,0.208392,0.009065873476656116,0.00019700000000000005,20
High_Abeta,2.0,99,0.345671,0.012703083295425811,0.20876100000000003,0.009087611518174794,0.0,20
High_Abeta,2.0,100,0.34564300000000003,0.012835690068177705,0.20911400000000002,0.009110976156609994,0.0,20
Low_Abeta,0.3,0,0.101301,0.001973376734645999,0.0,0.0,0.992408,20
Low_Abeta,0.3,1,0.111338,0.0013974976885396564,0.002136,4.669272455442913e-05,0.992187,20
Low_Abeta,0.3,2,0.11843200000000001,0.0016187327076906087,0.004347,9.613887980690388e-05,0.9917339999999999,20
Low_Abeta,0.3,3,0.12334800000000001,0.002010298432938177,0.006579,0.00014781549665928665,0.99106,20
Low_Abeta,0.3,4,0.12676199999999999,0.0023363840257520753,0.008806999999999999,0.00020282362054906619,0.990146,20
Low_Abeta,0.3,5,0.129224,0.002624019255385063,0.011017,0.00026167989686074974,0.989009,20
Low_Abeta,0.3,6,0.130982,0.0028497223872178366,0.013191,0.0003227594019993026,0.987635,20
Low_Abeta,0.3,7,0.132265,0.003017919072194579,0.01533,0.00038325887911573906,0.98605,20
Low_Abeta,0.3,8,0.133236,0.003135192968123082,0.017417,0.0004451877782405272,0.9842420000000001,20
Low_Abeta,0.3,9,0.133878,0.00323542363613533,0.019457,0.000506033647726689,0.982227,20
Low_Abeta,0.3,10,0.134357,0.0033155481486951428,0.021444,0.0005680411400964768,0.980003,20
Low_Abeta,0.3,11,0.13464700000000002,0.0033546625134202937,0.023378,0.0006282404836232364,0.9775829999999999,20
Low_Abeta,0.3,12,0.134921,0.0034157334035621874,0.025255,0.0006879211628637323,0.9749650000000001,20
Low_Abeta,0.3,13,0.135126,0.003453775386595461,0.027081,0.0007464223088559816,0.972164,20
Low_Abeta,0.3,14,0.135216,0.0034615240330783414,0.028857,0.0008021054859096248,0.969178,20
Low_Abeta,0.3,15,0.135294,0.0034901256499776023,0.030569999999999996,0.0008581111448070729,0.9660040000000001,20
Low_Abeta,0.3,16,0.13548,0.0035014132485101067,0.032241000000000006,0.0009127096442663694,0.9626680000000001,20
Low_Abeta,0.3,17,0.135545,0.0035439308758258223,0.033871,0.0009664830164325865,0.9591580000000001,20
Low_Abeta,0.3,18,0.135551,0.003553013094914172,0.035441,0.0010182725051462607,0.955485,20
Low_Abeta,0.3,19,0.135606,0.0035544090040991413,0.036968,0.0010684769287955735,0.9516629999999999,20
Low_Abeta,0.3,20,0.135628,0.0035616576270932586,0.038447999999999996,0.0011162893418540023,0.9476829999999999,20
Low_Abeta,0.3,21,0.13566,0.003574068594164006,0.039883999999999996,0.0011652346499626948,0.9435459999999999,20
Low_Abeta,0.3,22,0.135658,0.003572973374773748,0.041281,0.0012116126487150566,0.9392759999999999,20
Low_Abeta,0.3,23,0.135705,0.0035694410221386638,0.042627,0.0012575458765305336,0.9348620000000001,20
Low_Abeta,0.3,24,0.135633,0.0035623898764142797,0.043938,0.0013026894447540768,0.9303079999999999,20
Low_Abeta,0.3,25,0.135675,0.0035823323408081505,0.045212,0.0013454675571593767,0.925629,20
Low_Abeta,0.3,26,0.135731,0.003602769541397431,0.046447,0.0013889657454758425,0.9208230000000001,20
Low_Abeta,0.3,27,0.135629,0.0035978105842303597,0.047639,0.0014304842573500468,0.915885,20
Low_Abeta,0.3,28,0.13572900000000002,0.003592218629790025,0.048798999999999995,0.0014721573678752803,0.910831,20
Low_Abeta,0.3,29,0.135656,0.003576913871217095,0.049926000000000005,0.001509949528609274,0.905663,20
Low_Abeta,0.3,30,0.135662,0.0035735643123829238,0.051014000000000004,0.0015479610358213325,0.900385,20
Low_Abeta,0.3,31,0.135645,0.0035426718656077112,0.052077,0.0015844894744796638,0.8949909999999999,20
Low_Abeta,0.3,32,0.135619,0.00355524326653051,0.053103,0.0016210725981340417,0.8894949999999999,20
Low_Abeta,0.3,33,0.135633,0.003558705049815024,0.054093999999999996,0.0016549797899863175,0.883894,20
Low_Abeta,0.3,34,0.135652,0.0035570991729660536,0.055067,0.001691169806905703,0.878194,20
Low_Abeta,0.3,35,0.135677,0.0035687964284010954,0.055997,0.0017235747888129426,0.872397,20
Low_Abeta,0.3,36,0.13571,0.003571251439216406,0.056907,0.0017572863499695987,0.866512,20
Low_Abeta,0.3,37,0.135643,0.00355847610050914,0.057789,0.0017883102727376328,0.860523,20
Low_Abeta,0.3,38,0.135706,0.0035439457938114247,0.058643999999999995,0.0018174618507543338,0.854452,20
Low_Abeta,0.3,39,0.135684,0.003555169579196203,0.059468,0.001849693801118103,0.848292,20
Low_Abeta,0.3,40,0.135734,0.003563402602185607,0.060278,0.0018807640664592166,0.84206,20
Low_Abeta,0.3,41,0.13559700000000002,0.003556250916196348,0.06106,0.001907285753988746,0.835737,20
Low_Abeta,0.3,42,0.135671,0.003552402737658881,0.061818000000000005,0.0019358468295214942,0.82934,20
Low_Abeta,0.3,43,0.135582,0.0035425221167084357,0.062543,0.0019634198280175925,0.822864,20
Low_Abeta,0.3,44,0.13547700000000001,0.0035458822003765675,0.063252,0.0019888242493334703,0.8163199999999999,20
Low_Abeta,0.3,45,0.135545,0.003552764046263284,0.063942,0.0020159829259928613,0.8097030000000001,20
Low_Abeta,0.3,46,0.135602,0.003566889224077768,0.06461399999999999,0.002042420184615867,0.803015,20
Low_Abeta,0.3,47,0.135575,0.00354856409062358,0.065261,0.002065311738926443,0.79626,20
Low_Abeta,0.3,48,0.135558,0.003568123463759569,0.06589199999999999,0.002090588131804566,0.789441,20
Low_Abeta,0.3,49,0.13566499999999998,0.0035936692508090557,0.0665,0.002113549272270649,0.782565,20
Low_Abeta,0.3,50,0.135601,0.0035975651049300725,0.067094,0.0021377376629955025,0.775617,20
Low_Abeta,0.3,51,0.135664,0.0036110428877046174,0.067667,0.002161229803412375,0.768615,20
Low_Abeta,0.3,52,0.135709,0.003622010629470873,0.06823,0.0021833737775817444,0.761555,20
Low_Abeta,0.3,53,0.13578300000000001,0.0036306343580847222,0.068774,0.002206581590558,0.754441,20
Low_Abeta,0.3,54,0.135687,0.0036109302708654785,0.069297,0.002228263555705251,0.747267,20
Low_Abeta,0.3,55,0.135698,0.003625478233426954,0.06980800000000001,0.002248620348943816,0.740037,20
Low_Abeta,0.3,56,0.135676,0.003598364423778641,0.070304,0.0022683690408007154,0.7327670000000001,20
Low_Abeta,0.3,57,0.135656,0.003587931408133896,0.070787,0.0022898693481460787,0.7254430000000001,20
Low_Abeta,0.3,58,0.135656,0.0035933985086690928,0.07125200000000001,0.0023092023685565904,0.71807,20
Low_Abeta,0.3,59,0.135653,0.003582417964683101,0.07169400000000001,0.0023282535130549316,0.710652,20
Low_Abeta,0.3,60,0.13566799999999998,0.0036001641483044697,0.07213699999999999,0.0023469609800985743,0.703192,20
Low_Abeta,0.3,61,0.135677,0.003598518781533957,0.072568,0.002366159402024613,0.695684,20
Low_Abeta,0.3,62,0.13574999999999998,0.0035865023278074727,0.07298099999999999,0.0023828980476015243,0.6881280000000001,20
Low_Abeta,0.3,63,0.135749,0.003575315216136452,0.073377,0.002400599168628751,0.680536,20
Low_Abeta,0.3,64,0.13564,0.0035779838486293685,0.073771,0.0024178474441448727,0.672908,20
Low_Abeta,0.3,65,0.135621,0.0035580469139831843,0.07415,0.0024328490986582183,0.6652370000000001,20
Low_Abeta,0.3,66,0.135548,0.0035532414852682856,0.07450799999999999,0.0024492896499748013,0.657528,20
Low_Abeta,0.3,67,0.13566899999999998,0.0035678159248599445,0.074861,0.002464468545249932,0.649779,20
Low_Abeta,0.3,68,0.13564400000000001,0.0035669038911107557,0.075213,0.0024797165691179093,0.641996,20
Low_Abeta,0.3,69,0.135596,0.0035760164841254364,0.075539,0.002495026410576386,0.6341910000000001,20
Low_Abeta,0.3,70,0.135628,0.0035564593273884654,0.075861,0.0025095734487631245,0.626336,20
