condition,abeta_uM,time_hours,calcium_mean,calcium_sem,tau_mean,tau_sem,viability_mean,n
Control,0.0,0,0.103975,0.0016356147242904703,0.0,0.0,0.993612,20
Control,0.0,1,0.10230500000000001,0.001456024056336838,0.001965,4.9648766349225645e-05,0.9934100000000001,20
Control,0.0,2,0.10115199999999999,0.0016527708154553834,0.0038510000000000003,9.892554350568275e-05,0.993008,20
Control,0.0,3,0.100365,0.0019075279538546324,0.0056549999999999994,0.00014833727572131374,0.992426,20
Control,0.0,4,0.099816,0.0021243221085919693,0.0073999999999999995,0.000197846298663222,0.9916579999999999,20
Control,0.0,5,0.099444,0.0022883239557186367,0.009083,0.00024970835620358157,0.990714,20
Control,0.0,6,0.099176,0.0024083794944887078,0.01071,0.0003011993569574459,0.9895970000000001,20
Control,0.0,7,0.09900400000000001,0.0024942184093788193,0.012284,0.0003526399684783632,0.988319,20
Control,0.0,8,0.098875,0.00255575465217326,0.013813,0.00040407991653553936,0.98689,20
Control,0.0,9,0.09879099999999999,0.0026003471326971543,0.015290000000000002,0.00045322121936666916,0.985301,20
Control,0.0,10,0.098727,0.0026326149797452243,0.016722,0.0005023668192194143,0.983566,20
Control,0.0,11,0.098685,0.002655379792441237,0.018111,0.000550070760998313,0.9816860000000001,20
Control,0.0,12,0.098656,0.0026711115762228237,0.019454,0.000596226908413055,0.9796659999999999,20
Control,0.0,13,0.098632,0.0026808896402421892,0.020752,0.0006419729458146153,0.977508,20
Control,0.0,14,0.098625,0.002689010334481325,0.022022,0.0006855484166555617,0.9752240000000001,20
Control,0.0,15,0.098617,0.0026950314030003237,0.023244,0.0007285914312453931,0.9728110000000001,20
Control,0.0,16,0.098597,0.0027006000405368,0.024426,0.0007694113949876501,0.970269,20
Control,0.0,17,0.098594,0.0027022747143062536,0.025584999999999997,0.000810566890645384,0.967617,20
Control,0.0,18,0.098586,0.0027037089924378823,0.026697,0.0008498684418314711,0.964846,20
Control,0.0,19,0.09858700000000001,0.002705560074326473,0.027778000000000004,0.0008861090582755006,0.961961,20
Control,0.0,20,0.098583,0.0027077387244710295,0.028829,0.0009221673269788779,0.958971,20
Control,0.0,21,0.098583,0.0027078024786084186,0.029848000000000003,0.0009599072323598996,0.9558709999999999,20
Control,0.0,22,0.098583,0.0027087795950827822,0.030832,0.0009934971724061157,0.9526680000000001,20
Control,0.0,23,0.098586,0.0027089128135801906,0.031791,0.0010262927406318745,0.94937,20
Control,0.0,24,0.098585,0.0027093195397407534,0.032717,0.0010588626221713464,0.945975,20
Control,0.0,25,0.098588,0.0027098640090175035,0.033624,0.0010897045471135742,0.9424759999999999,20
Control,0.0,26,0.098585,0.0027097243499351695,0.034494000000000004,0.0011202914094579422,0.938906,20
