density_label,n_microglia,time_hours,abeta_remaining_mean,abeta_remaining_sem,clearance_fraction_mean,clearance_fraction_sem,n
High (50),50,0,2.0,0.0,0.0,0.0,20
High (50),50,1,1.97,0.0,0.015,7.959457186074219e-19,20
High (50),50,2,1.9362527743628568,0.00043899933020304706,0.03187361281857162,0.00021949966510151253,20
High (50),50,3,1.9015839333688926,0.0005790819226989478,0.04920803331555361,0.00028954096134946837,20
High (50),50,4,1.8680079272917953,0.0016142865795211075,0.06599603635410226,0.0008071432897605445,20
High (50),50,5,1.8465026079081999,0.002068936829028297,0.07674869604590014,0.0010344684145141478,20
High (50),50,6,1.827012096299055,0.002158472314634945,0.08649395185047243,0.001079236157317466,20
High (50),50,7,1.8079670246476838,0.0021512583382655584,0.09601648767615824,0.0010756291691327662,20
High (50),50,8,1.7883718255348324,0.0021538254895173054,0.10581408723258372,0.0010769127447586527,20
High (50),50,9,1.768730539056103,0.002191321004890284,0.11563473047194846,0.0010956605024451404,20
High (50),50,10,1.7500046073369524,0.002318737149803539,0.12499769633152365,0.001159368574901768,20
High (50),50,11,1.7316487786261718,0.0023134502595272264,0.1341756106869142,0.0011567251297636182,20
High (50),50,12,1.7126343487054867,0.0022729502955460296,0.1436828256472566,0.0011364751477730155,20
High (50),50,13,1.6941647718360215,0.0025099922664149404,0.15291761408198917,0.001254996133207468,20
High (50),50,14,1.6764256554671888,0.0025583086507899046,0.1617871722664055,0.0012791543253949512,20
High (50),50,15,1.6587819522017822,0.002827529001465536,0.17060902389910887,0.0014137645007327678,20
High (50),50,16,1.640882527576105,0.002910262194844366,0.1795587362119474,0.0014551310974221818,20
High (50),50,17,1.6252088221031307,0.0030493914962959204,0.18739558894843455,0.0015246957481479587,20
High (50),50,18,1.6091074433844237,0.0031468443718308987,0.1954462783077881,0.0015734221859154496,20
High (50),50,19,1.5915012797647554,0.003150790303701344,0.2042493601176223,0.0015753951518506705,20
High (50),50,20,1.575254832728724,0.0030562050396472635,0.21237258363563796,0.0015281025198236298,20
High (50),50,21,1.558645111830653,0.0030082159005063967,0.22067744408467335,0.0015041079502531975,20
High (50),50,22,1.5419725408244975,0.0029266437023840208,0.22901372958775115,0.0014633218511920115,20
High (50),50,23,1.5260948876901357,0.0027915764484599498,0.23695255615493221,0.0013957882242299749,20
High (50),50,24,1.5098635262923685,0.0026441764485006865,0.24506823685381574,0.0013220882242503443,20
High (50),50,25,1.4939213676461276,0.0026138589994969953,0.25303931617693626,0.0013069294997485046,20
High (50),50,26,1.478560662230635,0.002608556210486717,0.2607196688846824,0.00130427810524336,20
High (50),50,27,1.46374572800111,0.002720620877240644,0.268127135999445,0.001360310438620319,20
High (50),50,28,1.4482569379371633,0.002800166238333104,0.27587153103141826,0.0014000831191665485,20
High (50),50,29,1.4330778864404818,0.002785783509349946,0.2834610567797591,0.0013928917546749725,20
High (50),50,30,1.4170721826917059,0.0025709375775245,0.29146390865414706,0.0012854687887622468,20
High (50),50,31,1.401703684656629,0.002443171239349881,0.2991481576716854,0.0012215856196749388,20
High (50),50,32,1.387392839028369,0.0024324172612910132,0.3063035804858155,0.0012162086306455086,20
High (50),50,33,1.3726289398860172,0.0023549820784920005,0.31368553005699135,0.001177491039246,20
High (50),50,34,1.3582434686155298,0.002389234951692888,0.32087826569223515,0.001194617475846444,20
High (50),50,35,1.3445454690633203,0.002346113687594232,0.32772726546833986,0.0011730568437971144,20
High (50),50,36,1.329701041750663,0.0024112765084696405,0.3351494791246685,0.001205638254234821,20
High (50),50,37,1.3160907786821046,0.0025114418307479154,0.3419546106589477,0.0012557209153739612,20
High (50),50,38,1.3026303268063668,0.0025200407840851673,0.3486848365968166,0.0012600203920425837,20
High (50),50,39,1.2894024973563867,0.002734704325611136,0.3552987513218067,0.0013673521628055714,20
High (50),50,40,1.276022873732457,0.0027501296287535514,0.3619885631337714,0.001375064814376775,20
High (50),50,41,1.2626180093646382,0.002865134331028012,0.3686909953176808,0.0014325671655140105,20
High (50),50,42,1.2501311852300483,0.0028999302668571694,0.3749344073849759,0.0014499651334285834,20
High (50),50,43,1.2370541836682054,0.0031013981065282914,0.3814729081658973,0.0015506990532641442,20
High (50),50,44,1.2245063092009973,0.0030805037432270928,0.3877468453995013,0.0015402518716135447,20
High (50),50,45,1.2115924565602996,0.003229192519457015,0.3942037717198502,0.0016145962597285042,20
High (50),50,46,1.1991900191532328,0.003318564424974783,0.40040499042338357,0.0016592822124873918,20
High (50),50,47,1.186795471093864,0.003412127671860166,0.40660226445306796,0.001706063835930084,20
High (50),50,48,1.174156305261509,0.003374878414887408,0.4129218473692455,0.0016874392074437078,20
High (50),50,49,1.1621709719650763,0.0033449902937675432,0.4189145140174618,0.001672495146883772,20
High (50),50,50,1.1493628582455073,0.0033728189125426093,0.42531857087724634,0.0016864094562713018,20
High (50),50,51,1.1372349870885332,0.003475506484834745,0.4313825064557334,0.0017377532424173732,20
High (50),50,52,1.1252522337637145,0.0035899534125941783,0.43737388311814274,0.0017949767062970916,20
High (50),50,53,1.1138708222971405,0.0036027575935682547,0.4430645888514297,0.0018013787967841226,20
High (50),50,54,1.1026235932390909,0.003475818596807614,0.44868820338045456,0.001737909298403809,20
High (50),50,55,1.0909271467717487,0.003305261716697966,0.4545364266141256,0.0016526308583489843,20
High (50),50,56,1.0799455221486007,0.003293775754698161,0.4600272389256995,0.0016468878773490839,20
High (50),50,57,1.0689384310827235,0.0031426769387473243,0.46553078445863816,0.0015713384693736639,20
High (50),50,58,1.0578721709152892,0.003159669212589041,0.47106391454235547,0.0015798346062945187,20
High (50),50,59,1.0469915810411905,0.0032981855123160146,0.47650420947940475,0.0016490927561580006,20
High (50),50,60,1.035672996372603,0.0031568592221798706,0.4821635018136984,0.0015784296110899342,20
High (50),50,61,1.0247962293746946,0.0031159979414190483,0.4876018853126527,0.0015579989707095235,20
High (50),50,62,1.014222031740424,0.002982025117602971,0.492888984129788,0.0014910125588014841,20
High (50),50,63,1.0039460531067497,0.0028901164760156486,0.4980269734466252,0.0014450582380078206,20
High (50),50,64,0.9933510460264466,0.0028570975836570934,0.5033244769867766,0.001428548791828549,20
High (50),50,65,0.9832150082958252,0.0028045271535635705,0.5083924958520873,0.0014022635767817866,20
High (50),50,66,0.9729541375621198,0.0028607792184580875,0.5135229312189401,0.0014303896092290442,20
High (50),50,67,0.9629389108879829,0.002954912320882849,0.5185305445560086,0.0014774561604414258,20
High (50),50,68,0.9529164347026656,0.0029925183800026236,0.5235417826486672,0.001496259190001314,20
