abeta_uM,n,anti_inflammatory_mean,anti_inflammatory_sem,pro_inflammatory_mean,pro_inflammatory_sem,resting_mean,resting_sem
0.0,20,0.04833333333333333,0.010942433098048312,0.0,0.0,0.9516666666666664,0.010942433098048309
0.1,20,0.19833333333333336,0.018333333333333333,0.09666666666666669,0.011572300058975775,0.7049999999999998,0.0211199581339298
0.3,20,0.29500000000000004,0.031088912297413326,0.5166666666666667,0.04610565034951841,0.18833333333333332,0.023480114767046693
0.65,20,0.18833333333333335,0.014157633859202183,0.76,0.014017532881009254,0.05166666666666667,0.00887700228628129
1.0,20,0.215,0.015573819687190512,0.7366666666666666,0.01365832008712416,0.04833333333333333,0.01196363886828586
2.0,20,0.18333333333333335,0.01538967528127731,0.7566666666666667,0.018273426844874253,0.06,0.008583950752789522
