cell_id,step,x,y,replicate
46,5,39,87,0
47,5,87,191,0
48,5,47,71,0
49,5,59,157,0
0,6,180,167,0
1,6,94,67,0
2,6,130,65,0
3,6,175,83,0
4,6,192,54,0
5,6,165,63,0
6,6,111,117,0
7,6,184,184,0
8,6,168,129,0
9,6,57,26,0
10,6,138,27,0
11,6,65,183,0
12,6,133,179,0
13,6,80,92,0
14,6,64,161,0
15,6,152,189,0
16,6,33,168,0
17,6,147,142,0
18,6,99,101,0
19,6,142,126,0
20,6,12,181,0
21,6,8,174,0
22,6,30,109,0
23,6,186,180,0
24,6,33,173,0
25,6,138,57,0
26,6,77,113,0
27,6,189,25,0
28,6,61,152,0
29,6,122,67,0
30,6,133,135,0
31,6,37,46,0
32,6,192,179,0
33,6,138,166,0
34,6,127,115,0
35,6,93,16,0
36,6,151,193,0
37,6,141,22,0
38,6,39,140,0
39,6,65,108,0
40,6,40,27,0
41,6,29,181,0
42,6,100,100,0
43,6,69,166,0
44,6,100,99,0
45,6,47,150,0
46,6,39,87,0
47,6,87,191,0
48,6,47,71,0
49,6,59,157,0
0,7,180,167,0
1,7,94,67,0
2,7,130,65,0
3,7,175,83,0
4,7,192,54,0
5,7,165,63,0
6,7,111,117,0
7,7,184,184,0
8,7,168,129,0
9,7,57,26,0
10,7,138,27,0
11,7,65,183,0
12,7,133,179,0
13,7,80,92,0
14,7,64,161,0
15,7,152,189,0
16,7,33,168,0
17,7,147,142,0
18,7,101,99,0
19,7,142,126,0
20,7,12,181,0
21,7,8,174,0
22,7,30,109,0
23,7,186,180,0
24,7,33,173,0
25,7,138,57,0
26,7,77,113,0
27,7,189,25,0
28,7,61,152,0
29,7,122,67,0
30,7,133,135,0
31,7,37,46,0
32,7,192,179,0
33,7,138,166,0
34,7,127,115,0
35,7,93,16,0
36,7,151,193,0
37,7,141,22,0
38,7,39,140,0
39,7,65,108,0
40,7,40,27,0
41,7,29,181,0
42,7,100,100,0
43,7,69,166,0
44,7,100,101,0
45,7,47,150,0
46,7,39,87,0
47,7,87,191,0
48,7,47,71,0
49,7,59,157,0
0,8,180,167,0
1,8,94,67,0
2,8,130,65,0
3,8,175,83,0
4,8,192,54,0
5,8,165,63,0
6,8,111,117,0
7,8,184,184,0
8,8,168,129,0
9,8,57,26,0
10,8,138,27,0
11,8,65,183,0
12,8,133,179,0
13,8,80,92,0
14,8,64,161,0
15,8,152,189,0
16,8,33,168,0
17,8,147,142,0
18,8,99,101,0
19,8,142,126,0
20,8,12,181,0
21,8,8,174,0
22,8,30,109,0
23,8,186,180,0
24,8,33,173,0
25,8,138,57,0
26,8,77,113,0
27,8,189,25,0
28,8,61,152,0
29,8,122,67,0
30,8,133,135,0
31,8,37,46,0
32,8,192,179,0
33,8,138,166,0
34,8,127,115,0
35,8,93,16,0
36,8,151,193,0
37,8,141,22,0
38,8,39,140,0
39,8,65,108,0
40,8,40,27,0
41,8,29,181,0
42,8,100,100,0
43,8,69,166,0
44,8,100,99,0
45,8,47,150,0
46,8,39,87,0
47,8,87,191,0
48,8,47,71,0
49,8,59,157,0
0,9,180,167,0
1,9,94,67,0
2,9,130,65,0
3,9,175,83,0
4,9,192,54,0
5,9,165,63,0
6,9,111,117,0
7,9,184,184,0
8,9,168,129,0
9,9,57,26,0
10,9,138,27,0
11,9,65,183,0
12,9,133,179,0
13,9,80,92,0
14,9,64,161,0
15,9,152,189,0
16,9,33,168,0
17,9,147,142,0
18,9,101,99,0
19,9,142,126,0
20,9,12,181,0
21,9,8,174,0
22,9,30,109,0
23,9,186,180,0
24,9,33,173,0
25,9,138,57,0
26,9,77,113,0
27,9,189,25,0
28,9,61,152,0
29,9,122,67,0
30,9,133,135,0
31,9,37,46,0
32,9,192,179,0
33,9,138,166,0
34,9,127,115,0
35,9,93,16,0
36,9,151,193,0
37,9,141,22,0
38,9,39,140,0
39,9,65,108,0
40,9,40,27,0
41,9,29,181,0
42,9,100,100,0
43,9,69,166,0
44,9,100,101,0
45,9,47,150,0
46,9,39,87,0
47,9,87,191,0
48,9,47,71,0
49,9,59,157,0
0,10,180,167,0
1,10,94,67,0
2,10,130,65,0
3,10,175,83,0
4,10,192,54,0
5,10,165,63,0
6,10,111,117,0
7,10,184,184,0
8,10,168,129,0
9,10,57,26,0
10,10,138,27,0
11,10,65,183,0
12,10,133,179,0
13,10,80,92,0
14,10,64,161,0
15,10,152,189,0
16,10,33,168,0
17,10,147,142,0
18,10,99,101,0
19,10,142,126,0
20,10,12,181,0
21,10,8,174,0
22,10,30,109,0
23,10,186,180,0
24,10,33,173,0
25,10,138,57,0
26,10,77,113,0
27,10,189,25,0
28,10,61,152,0
29,10,122,67,0
30,10,133,135,0
31,10,37,46,0
32,10,192,179,0
33,10,138,166,0
34,10,127,115,0
35,10,93,16,0
36,10,151,193,0
37,10,141,22,0
38,10,39,140,0
39,10,65,108,0
40,10,40,27,0
41,10,29,181,0
42,10,100,100,0
43,10,69,166,0
44,10,100,99,0
45,10,47,150,0
46,10,39,87,0
47,10,87,191,0
48,10,47,71,0
49,10,59,157,0
0,11,180,167,0
1,11,94,67,0
2,11,130,65,0
3,11,175,83,0
4,11,192,54,0
5,11,165,63,0
6,11,111,117,0
7,11,184,184,0
8,11,168,129,0
9,11,57,26,0
10,11,138,27,0
11,11,65,183,0
12,11,133,179,0
13,11,80,92,0
14,11,64,161,0
15,11,152,189,0
16,11,33,168,0
17,11,147,142,0
18,11,101,99,0
19,11,142,126,0
20,11,12,181,0
21,11,8,174,0
22,11,30,109,0
23,11,186,180,0
24,11,33,173,0
25,11,138,57,0
26,11,77,113,0
27,11,189,25,0
28,11,61,152,0
29,11,122,67,0
30,11,133,135,0
31,11,37,46,0
32,11,192,179,0
33,11,138,166,0
34,11,127,115,0
35,11,93,16,0
36,11,151,193,0
37,11,141,22,0
38,11,39,140,0
39,11,65,108,0
40,11,40,27,0
41,11,29,181,0
42,11,100,100,0
43,11,69,166,0
44,11,100,101,0
45,11,47,150,0
46,11,39,87,0
47,11,87,191,0
48,11,47,71,0
49,11,59,157,0
0,12,180,167,0
1,12,94,67,0
2,12,130,65,0
3,12,175,83,0
4,12,192,54,0
5,12,165,63,0
6,12,111,117,0
7,12,184,184,0
8,12,168,129,0
9,12,57,26,0
10,12,138,27,0
11,12,65,183,0
12,12,133,179,0
13,12,80,92,0
14,12,64,161,0
15,12,152,189,0
16,12,33,168,0
17,12,147,142,0
18,12,99,101,0
19,12,142,126,0
20,12,12,181,0
21,12,8,174,0
22,12,30,109,0
23,12,186,180,0
24,12,33,173,0
25,12,138,57,0
26,12,77,113,0
27,12,189,25,0
28,12,61,152,0
29,12,122,67,0
30,12,133,135,0
31,12,37,46,0
32,12,192,179,0
33,12,138,166,0
34,12,127,115,0
35,12,93,16,0
36,12,151,193,0
37,12,141,22,0
38,12,39,140,0
39,12,65,108,0
40,12,40,27,0
41,12,29,181,0
42,12,100,100,0
43,12,69,166,0
44,12,100,99,0
45,12,47,150,0
46,12,39,87,0
47,12,87,191,0
48,12,47,71,0
49,12,59,157,0
0,13,180,167,0
1,13,94,67,0
2,13,130,65,0
3,13,175,83,0
4,13,192,54,0
5,13,165,63,0
6,13,111,117,0
7,13,184,184,0
8,13,168,129,0
9,13,57,26,0
10,13,138,27,0
11,13,65,183,0
12,13,133,179,0
13,13,80,92,0
14,13,64,161,0
15,13,152,189,0
16,13,33,168,0
17,13,147,142,0
18,13,101,99,0
19,13,142,126,0
20,13,12,181,0
21,13,8,174,0
22,13,30,109,0
23,13,186,180,0
24,13,33,173,0
25,13,138,57,0
26,13,77,113,0
27,13,189,25,0
28,13,61,152,0
29,13,122,67,0
30,13,133,135,0
31,13,37,46,0
32,13,192,179,0
33,13,138,166,0
34,13,127,115,0
35,13,93,16,0
36,13,151,193,0
37,13,141,22,0
38,13,39,140,0
39,13,65,108,0
40,13,40,27,0
41,13,29,181,0
42,13,100,100,0
43,13,69,166,0
44,13,100,101,0
45,13,47,150,0
46,13,39,87,0
47,13,87,191,0
48,13,47,71,0
49,13,59,157,0
0,14,180,167,0
1,14,94,67,0
2,14,130,65,0
3,14,175,83,0
4,14,192,54,0
5,14,165,63,0
6,14,111,117,0
7,14,184,184,0
8,14,168,129,0
9,14,57,26,0
10,14,138,27,0
11,14,65,183,0
12,14,133,179,0
13,14,80,92,0
14,14,64,161,0
15,14,152,189,0
16,14,33,168,0
17,14,147,142,0
18,14,99,101,0
19,14,142,126,0
20,14,12,181,0
21,14,8,174,0
22,14,30,109,0
23,14,186,180,0
24,14,33,173,0
25,14,138,57,0
26,14,77,113,0
27,14,189,25,0
28,14,61,152,0
29,14,122,67,0
30,14,133,135,0
31,14,37,46,0
32,14,192,179,0
33,14,138,166,0
34,14,127,115,0
35,14,93,16,0
36,14,151,193,0
37,14,141,22,0
38,14,39,140,0
39,14,65,108,0
40,14,40,27,0
41,14,29,181,0
42,14,100,100,0
43,14,69,166,0
44,14,100,99,0
45,14,47,150,0
46,14,39,87,0
47,14,87,191,0
48,14,47,71,0
49,14,59,157,0
0,15,180,167,0
1,15,94,67,0
2,15,130,65,0
3,15,175,83,0
4,15,192,54,0
5,15,165,63,0
6,15,111,117,0
7,15,184,184,0
8,15,168,129,0
9,15,57,26,0
10,15,138,27,0
11,15,65,183,0
12,15,133,179,0
13,15,80,92,0
14,15,64,161,0
15,15,152,189,0
16,15,33,168,0
17,15,147,142,0
18,15,101,99,0
19,15,142,126,0
20,15,12,181,0
