step,mean_ci,sem_ci,mean_ai,sem_ai
0,1.0697858176079025,0.01973761811566068,0.9410097562803215,0.017918743372429546
2,1.0544577033856555,0.019408629710735058,0.9547093974271098,0.018292377349898803
4,1.037654150033997,0.0190571358708717,0.9701850279824816,0.018673744808733312
6,1.019898672854889,0.019023020644245367,0.9873041081021409,0.019361921108373516
8,1.0002424760001887,0.018888791496044832,1.0068501811794552,0.019905301425918887
10,0.9791616661702662,0.018538551571272866,1.0285114980263892,0.020234598964539125
12,0.9556208638795842,0.01800853992600788,1.0537266660734947,0.020479950962603855
14,0.9320757458707896,0.01763722272716754,1.0803604164852352,0.020948054114506173
16,0.9067897913478365,0.017204910570583733,1.1104846281526457,0.021470628222359373
18,0.880999528622074,0.016605900978608326,1.1428572214109427,0.021867050304226244
20,0.8561664272087803,0.015748211564425414,1.1755594993502334,0.02176181593705186
22,0.8315108563684748,0.015246137676999363,1.210310756630085,0.02216026298331841
24,0.8069883107495663,0.014997212830686805,1.247305021316498,0.02313526555725464
26,0.783820208764451,0.015089326142375912,1.2848770230893445,0.02493314791102864
28,0.7596105907046619,0.015433036781911262,1.3269789427398986,0.02740654092498742
30,0.7358943019721748,0.015614523491863376,1.3709486621417537,0.030131491740568193
32,0.7125018553854382,0.016152380202767207,1.4180799845537226,0.03416428226631947
34,0.6906140977858197,0.016790547036859737,1.465808381514895,0.03909301146960751
36,0.6653484217162349,0.017113732959470558,1.5243776031361416,0.04456795752666292
38,0.642334237205342,0.017322784617942115,1.5815772379503323,0.049240359865058606
40,0.6198440979373798,0.01728581235451416,1.6407274296336678,0.05278060328834179
42,0.597904491992548,0.017587203002711143,1.704440607417035,0.058463578949314726
44,0.5756592520413413,0.017756262199085625,1.7735936201764138,0.06380370468918867
46,0.5554237978663977,0.017788286573864158,1.840673724026793,0.06796026034959222
48,0.5339552759668924,0.017962349119530773,1.9189557610900345,0.07444748205707827
50,0.5144839842462435,0.018226306372499876,1.9978345972791505,0.08353134848369322
52,0.49453315264389747,0.018454896170259773,2.0837559294235812,0.09025910528513215
54,0.4751364272753918,0.018634943389199687,2.1768131626310057,0.10075301876795291
56,0.4551546413729704,0.019002573392577524,2.2841108697137917,0.11496375638876047
58,0.4359265395387794,0.019103187093275426,2.3949005497351066,0.1277750013783976
60,0.4160690899687533,0.01882914314160613,2.519160925469172,0.14236506930866372
