mode,step,grand_mean,grand_sem
chemotaxis,0,75.06485683855509,1.1155514333336038
chemotaxis,1,75.01316894408657,1.1217772845515226
chemotaxis,2,74.96400692130618,1.128468842395262
chemotaxis,3,74.92007679431033,1.133683164269464
chemotaxis,4,74.88932248407147,1.138095784295249
chemotaxis,5,74.86736012888714,1.140697678570024
chemotaxis,6,74.85322064192317,1.1448897225738615
chemotaxis,7,74.84238285352687,1.1469693250510469
chemotaxis,8,74.84122057586671,1.1475193537809802
chemotaxis,9,74.84022057586671,1.1471898036605384
chemotaxis,10,74.84122057586671,1.1475193537809802
chemotaxis,11,74.84022057586671,1.1471898036605384
chemotaxis,12,74.84122057586671,1.1475193537809802
chemotaxis,13,74.84022057586671,1.1471898036605384
chemotaxis,14,74.84122057586671,1.1475193537809802
chemotaxis,15,74.84022057586671,1.1471898036605384
chemotaxis,16,74.84122057586671,1.1475193537809802
chemotaxis,17,74.84022057586671,1.1471898036605384
chemotaxis,18,74.84122057586671,1.1475193537809802
chemotaxis,19,74.84022057586671,1.1471898036605384
chemotaxis,20,74.84122057586671,1.1475193537809802
chemotaxis,21,74.84022057586671,1.1471898036605384
chemotaxis,22,74.84122057586671,1.1475193537809802
chemotaxis,23,74.84022057586671,1.1471898036605384
chemotaxis,24,74.84122057586671,1.1475193537809802
chemotaxis,25,74.84022057586671,1.1471898036605384
chemotaxis,26,74.84122057586671,1.1475193537809802
chemotaxis,27,74.84022057586671,1.1471898036605384
chemotaxis,28,74.84122057586671,1.1475193537809802
chemotaxis,29,74.84022057586671,1.1471898036605384
chemotaxis,30,74.84122057586671,1.1475193537809802
chemotaxis,31,74.84022057586671,1.1471898036605384
chemotaxis,32,74.84122057586671,1.1475193537809802
chemotaxis,33,74.84022057586671,1.1471898036605384
chemotaxis,34,74.84122057586671,1.1475193537809802
chemotaxis,35,74.84022057586671,1.1471898036605384
chemotaxis,36,74.84122057586671,1.1475193537809802
chemotaxis,37,74.84022057586671,1.1471898036605384
chemotaxis,38,74.84122057586671,1.1475193537809802
chemotaxis,39,74.84022057586671,1.1471898036605384
chemotaxis,40,74.84122057586671,1.1475193537809802
chemotaxis,41,74.84022057586671,1.1471898036605384
chemotaxis,42,74.84122057586671,1.1475193537809802
chemotaxis,43,74.84022057586671,1.1471898036605384
chemotaxis,44,74.84122057586671,1.1475193537809802
chemotaxis,45,74.84022057586671,1.1471898036605384
chemotaxis,46,74.84122057586671,1.1475193537809802
chemotaxis,47,74.84022057586671,1.1471898036605384
chemotaxis,48,74.84122057586671,1.1475193537809802
chemotaxis,49,74.84022057586671,1.1471898036605384
chemotaxis,50,74.84122057586671,1.1475193537809802
chemotaxis,51,74.84022057586671,1.1471898036605384
chemotaxis,52,74.84122057586671,1.1475193537809802
chemotaxis,53,74.84022057586671,1.1471898036605384
chemotaxis,54,74.84122057586671,1.1475193537809802
chemotaxis,55,74.84022057586671,1.1471898036605384
chemotaxis,56,74.84122057586671,1.1475193537809802
chemotaxis,57,74.84022057586671,1.1471898036605384
chemotaxis,58,74.84122057586671,1.1475193537809802
chemotaxis,59,74.84022057586671,1.1471898036605384
chemotaxis,60,74.84122057586671,1.1475193537809802
random_walk,0,75.06485683855509,1.1155514333336038
random_walk,1,75.05324539451166,1.1231306483536942
random_walk,2,74.95996241834114,1.1191477703885562
random_walk,3,74.9007269356699,1.1301046283598868
random_walk,4,74.86803218506371,1.1319090335660014
random_walk,5,74.87066522895503,1.141718732890427
random_walk,6,74.8659454983746,1.1178820585299694
random_walk,7,74.80592377640906,1.1170045446721872
random_walk,8,74.78916363922721,1.110682064253084
random_walk,9,74.78329922114874,1.124073190006988
random_walk,10,74.8408601703158,1.1321175294335313
random_walk,11,74.88536685162492,1.1385013017298438
random_walk,12,74.90247939628657,1.133820980322864
random_walk,13,74.91307929740202,1.1228330407558647
random_walk,14,74.88115910983767,1.111377994989849
random_walk,15,74.96214008964758,1.1094318284903244
random_walk,16,74.99418504349146,1.1019274257320373
random_walk,17,75.01161788540686,1.1026462200839784
random_walk,18,74.96911122093216,1.112109356371763
