dist_bin_center,replicate,viability_mean,abeta_mean,n_neurons
0.9428090415820632,0,0.0,54.881823,1
0.9428090415820632,1,0.0,54.881823,1
0.9428090415820632,2,0.0,54.881823,1
0.9428090415820632,3,0.0,54.881823,1
0.9428090415820632,4,0.0,54.881823,1
0.9428090415820632,5,0.0,54.881823,1
0.9428090415820632,6,0.0,54.881823,1
0.9428090415820632,7,0.0,54.881823,1
0.9428090415820632,8,0.0,54.881823,1
0.9428090415820632,9,0.0,54.881823,1
0.9428090415820632,10,0.0,54.881823,1
0.9428090415820632,11,0.0,54.881823,1
0.9428090415820632,12,0.0,54.881823,1
0.9428090415820632,13,0.0,54.881823,1
0.9428090415820632,14,0.0,54.881823,1
0.9428090415820632,15,0.0,54.881823,1
0.9428090415820632,16,0.0,54.881823,1
0.9428090415820632,17,0.0,54.881823,1
0.9428090415820632,18,0.0,54.881823,1
0.9428090415820632,19,0.0,54.881823,1
2.82842712474619,0,0.0,16.115692,8
2.82842712474619,1,0.0,16.115692,8
2.82842712474619,2,0.0,16.115692,8
2.82842712474619,3,0.0,16.115692,8
2.82842712474619,4,0.0,16.115692,8
2.82842712474619,5,0.0,16.115692,8
2.82842712474619,6,0.0,16.115692,8
2.82842712474619,7,0.0,16.115692,8
2.82842712474619,8,0.0,16.115692,8
2.82842712474619,9,0.0,16.115692,8
2.82842712474619,10,0.0,16.115692,8
2.82842712474619,11,0.0,16.115692,8
2.82842712474619,12,0.0,16.115692,8
2.82842712474619,13,0.0,16.115692,8
2.82842712474619,14,0.0,16.115692,8
2.82842712474619,15,0.0,16.115692,8
2.82842712474619,16,0.0,16.115692,8
2.82842712474619,17,0.0,16.115692,8
2.82842712474619,18,0.0,16.115692,8
2.82842712474619,19,0.0,16.115692,8
4.714045207910316,0,0.0,7.462536666666668,12
4.714045207910316,1,0.0,7.462536666666668,12
4.714045207910316,2,0.0,7.462536666666668,12
4.714045207910316,3,0.0,7.462536666666668,12
4.714045207910316,4,0.0,7.462536666666668,12
4.714045207910316,5,0.0,7.462536666666668,12
4.714045207910316,6,0.0,7.462536666666668,12
4.714045207910316,7,0.0,7.462536666666668,12
4.714045207910316,8,0.0,7.462536666666668,12
4.714045207910316,9,0.0,7.462536666666668,12
4.714045207910316,10,0.0,7.462536666666668,12
4.714045207910316,11,0.0,7.462536666666668,12
4.714045207910316,12,0.0,7.462536666666668,12
4.714045207910316,13,0.0,7.462536666666668,12
4.714045207910316,14,0.0,7.462536666666668,12
4.714045207910316,15,0.0,7.462536666666668,12
4.714045207910316,16,0.0,7.462536666666668,12
4.714045207910316,17,0.0,7.462536666666668,12
4.714045207910316,18,0.0,7.462536666666668,12
4.714045207910316,19,0.0,7.462536666666668,12
6.599663291074442,0,0.0,3.5766587083333334,24
6.599663291074442,1,0.0,3.5766587083333334,24
6.599663291074442,2,0.0,3.5766587083333334,24
6.599663291074442,3,0.0,3.5766587083333334,24
6.599663291074442,4,0.0,3.5766587083333334,24
6.599663291074442,5,0.0,3.5766587083333334,24
6.599663291074442,6,0.0,3.5766587083333334,24
6.599663291074442,7,0.0,3.5766587083333334,24
6.599663291074442,8,0.0,3.5766587083333334,24
6.599663291074442,9,0.0,3.5766587083333334,24
6.599663291074442,10,0.0,3.5766587083333334,24
6.599663291074442,11,0.0,3.5766587083333334,24
6.599663291074442,12,0.0,3.5766587083333334,24
6.599663291074442,13,0.0,3.5766587083333334,24
6.599663291074442,14,0.0,3.5766587083333334,24
6.599663291074442,15,0.0,3.5766587083333334,24
6.599663291074442,16,0.0,3.5766587083333334,24
6.599663291074442,17,0.0,3.5766587083333334,24
6.599663291074442,18,0.0,3.5766587083333334,24
6.599663291074442,19,0.0,3.5766587083333334,24
8.48528137423857,0,0.0,1.806291541666667,24
8.48528137423857,1,0.0,1.806291541666667,24
8.48528137423857,2,0.0,1.806291541666667,24
8.48528137423857,3,0.0,1.806291541666667,24
8.48528137423857,4,0.0,1.806291541666667,24
8.48528137423857,5,0.0,1.806291541666667,24
8.48528137423857,6,0.0,1.806291541666667,24
8.48528137423857,7,0.0,1.806291541666667,24
8.48528137423857,8,0.0,1.806291541666667,24
8.48528137423857,9,0.0,1.806291541666667,24
8.48528137423857,10,0.0,1.806291541666667,24
8.48528137423857,11,0.0,1.806291541666667,24
8.48528137423857,12,0.0,1.806291541666667,24
8.48528137423857,13,0.0,1.806291541666667,24
8.48528137423857,14,0.0,1.806291541666667,24
8.48528137423857,15,0.0,1.806291541666667,24
8.48528137423857,16,0.0,1.806291541666667,24
8.48528137423857,17,0.0,1.806291541666667,24
8.48528137423857,18,0.0,1.806291541666667,24
8.48528137423857,19,0.0,1.806291541666667,24
10.370899457402697,0,0.0,1.00271,28
10.370899457402697,1,0.0,1.00271,28
10.370899457402697,2,0.0,1.00271,28
10.370899457402697,3,0.0,1.00271,28
10.370899457402697,4,0.0,1.00271,28
10.370899457402697,5,0.0,1.00271,28
10.370899457402697,6,0.0,1.00271,28
10.370899457402697,7,0.0,1.00271,28
10.370899457402697,8,0.0,1.00271,28
10.370899457402697,9,0.0,1.00271,28
10.370899457402697,10,0.0,1.00271,28
10.370899457402697,11,0.0,1.00271,28
10.370899457402697,12,0.0,1.00271,28
10.370899457402697,13,0.0,1.00271,28
10.370899457402697,14,0.0,1.00271,28
10.370899457402697,15,0.0,1.00271,28
10.370899457402697,16,0.0,1.00271,28
10.370899457402697,17,0.0,1.00271,28
10.370899457402697,18,0.0,1.00271,28
10.370899457402697,19,0.0,1.00271,28
12.256517540566822,0,0.0,0.541932125,40
12.256517540566822,1,0.0,0.541932125,40
12.256517540566822,2,0.0,0.541932125,40
12.256517540566822,3,0.0,0.541932125,40
