step,mass_mean,mass_std,rel_error_mean,rel_error_std
3000,1.00460590e+02,1.10885311e+01,4.55557695e-16,3.11483510e-16
3050,1.00460590e+02,1.10885311e+01,4.45396594e-16,3.25998465e-16
3100,1.00460590e+02,1.10885311e+01,4.69085676e-16,3.24481736e-16
3150,1.00460590e+02,1.10885311e+01,3.81406979e-16,2.98116343e-16
3200,1.00460590e+02,1.10885311e+01,4.37068015e-16,2.98861319e-16
3250,1.00460590e+02,1.10885311e+01,4.64904887e-16,3.08545707e-16
3300,1.00460590e+02,1.10885311e+01,4.50783977e-16,3.07947504e-16
3350,1.00460590e+02,1.10885311e+01,4.67159657e-16,3.00208127e-16
3400,1.00460590e+02,1.10885311e+01,4.39346753e-16,2.81891145e-16
3450,1.00460590e+02,1.10885311e+01,4.56327853e-16,3.34825757e-16
3500,1.00460590e+02,1.10885311e+01,4.65890022e-16,3.33251245e-16
3550,1.00460590e+02,1.10885311e+01,4.29893223e-16,3.09489402e-16
3600,1.00460590e+02,1.10885311e+01,4.73239248e-16,3.16748531e-16
3650,1.00460590e+02,1.10885311e+01,4.59258399e-16,2.58879364e-16
3700,1.00460590e+02,1.10885311e+01,4.62076273e-16,3.12338763e-16
3750,1.00460590e+02,1.10885311e+01,4.51088776e-16,3.23553087e-16
3800,1.00460590e+02,1.10885311e+01,4.30555165e-16,3.15573488e-16
3850,1.00460590e+02,1.10885311e+01,4.30472459e-16,3.13633463e-16
3900,1.00460590e+02,1.10885311e+01,4.54006691e-16,3.12542659e-16
3950,1.00460590e+02,1.10885311e+01,4.40884229e-16,2.72759341e-16
4000,1.00460590e+02,1.10885311e+01,3.75031585e-16,3.52171003e-16
4050,1.00460590e+02,1.10885311e+01,4.18514202e-16,2.58636370e-16
4100,1.00460590e+02,1.10885311e+01,4.20226798e-16,3.05674996e-16
4150,1.00460590e+02,1.10885311e+01,3.82549492e-16,2.63639734e-16
4200,1.00460590e+02,1.10885311e+01,4.43198998e-16,3.16660049e-16
4250,1.00460590e+02,1.10885311e+01,4.13067400e-16,2.81205748e-16
4300,1.00460590e+02,1.10885311e+01,4.58122185e-16,3.09247780e-16
4350,1.00460590e+02,1.10885311e+01,4.16139628e-16,2.99434856e-16
4400,1.00460590e+02,1.10885311e+01,4.12453503e-16,2.86376641e-16
4450,1.00460590e+02,1.10885311e+01,4.23780168e-16,3.15480723e-16
4500,1.00460590e+02,1.10885311e+01,4.27627784e-16,3.32414291e-16
4550,1.00460590e+02,1.10885311e+01,4.30022616e-16,3.33436786e-16
4600,1.00460590e+02,1.10885311e+01,4.28497632e-16,3.65948637e-16
4650,1.00460590e+02,1.10885311e+01,4.25710293e-16,3.44437014e-16
4700,1.00460590e+02,1.10885311e+01,4.33928195e-16,3.51830169e-16
4750,1.00460590e+02,1.10885311e+01,4.44257906e-16,3.33611871e-16
4800,1.00460590e+02,1.10885311e+01,4.13173664e-16,3.20008750e-16
4850,1.00460590e+02,1.10885311e+01,4.25574271e-16,3.29293999e-16
4900,1.00460590e+02,1.10885311e+01,4.30716475e-16,3.76238499e-16
4950,1.00460590e+02,1.10885311e+01,4.38942244e-16,3.41594510e-16
5000,1.00460590e+02,1.10885311e+01,4.24405277e-16,3.26186778e-16
