x,y,viability_mean,viability_std,abeta_local_mean
1,1,0.732985,0.05557659826761621,0.00022799999999999999
1,3,0.7524299999999999,0.047044086769752476,0.00033199999999999994
1,5,0.7192950000000001,0.05060590355877463,0.000564
1,7,0.7425050000000001,0.06211953376354334,0.000965
1,9,0.738475,0.041780436510405194,0.001592
1,11,0.7392549999999999,0.048418864866909044,0.0025010000000000006
1,13,0.7536149999999999,0.0524372508337346,0.0037240000000000007
1,15,0.7466299999999999,0.04388997721576079,0.005242999999999999
1,17,0.73701,0.054325775650238085,0.006964
1,19,0.725075,0.05153127084596303,0.008708999999999998
1,21,0.7081500000000001,0.06319065199853535,0.010233999999999998
1,23,0.7167399999999999,0.035912886266631354,0.011282999999999998
1,25,0.7127600000000001,0.057776720225364106,0.011657
1,27,0.72569,0.0483522688195704,0.011282999999999998
1,29,0.717495,0.04677608870993811,0.010233999999999998
1,31,0.722125,0.03976551112459137,0.008708999999999998
1,33,0.72953,0.031916235680292886,0.006964
1,35,0.738615,0.037956096677608984,0.005242999999999999
1,37,0.74931,0.05220575542983742,0.0037240000000000007
1,39,0.7235050000000001,0.048411398192987565,0.0025019999999999995
1,41,0.755375,0.04875377805873101,0.0015959999999999998
1,43,0.7434200000000001,0.04554674082741817,0.0009730000000000002
1,45,0.7347649999999999,0.060200185008021365,0.000583
1,47,0.73975,0.04947235086389164,0.000372
1,49,0.7456299999999999,0.06087356651289622,0.00030499999999999993
3,1,0.7360499999999999,0.04818905996177971,0.00033199999999999994
3,3,0.73356,0.04023752477476715,0.0004939999999999999
3,5,0.7287549999999999,0.058080293344644866,0.000852
3,7,0.7251350000000001,0.04594565567058545,0.0014790000000000003
3,9,0.746445,0.05013661810493405,0.0024749999999999998
3,11,0.75236,0.062113294873159,0.003943
3,13,0.716395,0.03505226775830632,0.005954
3,15,0.7290949999999999,0.052966097411457455,0.008497000000000001
3,17,0.7254550000000001,0.05580920600581951,0.01143
3,19,0.728445,0.05411526101757249,0.014452000000000001
3,21,0.7016349999999999,0.04129689183219483,0.017129999999999996
3,23,0.72521,0.04733490149984469,0.018988999999999995
3,25,0.7127949999999998,0.06603471416611115,0.019656
3,27,0.6796400000000001,0.04554651907665393,0.018988999999999995
3,29,0.7207199999999999,0.04045184297408463,0.017129999999999996
3,31,0.7179999999999999,0.054172751453106016,0.014452000000000001
3,33,0.733945,0.04149982499963102,0.01143
3,35,0.72538,0.044182378840438186,0.008497000000000001
3,37,0.73377,0.054634248416172065,0.005955
3,39,0.721805,0.05437034554791793,0.003945000000000001
3,41,0.729925,0.04285734330310269,0.0024800000000000004
3,43,0.7369049999999999,0.04379792774778276,0.0014909999999999997
3,45,0.754625,0.061448335005921846,0.0008790000000000001
3,47,0.7339,0.04452833929083815,0.0005509999999999998
3,49,0.7693,0.0452928912744594,0.0004449999999999999
5,1,0.720305,0.053035106061928454,0.000564
5,3,0.746415,0.049015010711005655,0.000852
5,5,0.7263600000000001,0.05465580847448878,0.0014899999999999996
5,7,0.739225,0.048864638287825266,0.002622
5,9,0.73041,0.04381649118767955,0.004447999999999999
5,11,0.72447,0.04066274830849483,0.007188
5,13,0.71132,0.042027141230400133,0.011016
5,15,0.730725,0.03476459225994173,0.015957
5,17,0.6916850000000001,0.05812884202356004,0.021770999999999995
5,19,0.6872349999999999,0.0477700981263384,0.027877000000000002
5,21,0.6543249999999999,0.05175772285369594,0.03337500000000001
5,23,0.6305449999999999,0.05581131135352402,0.03723900000000001
5,25,0.6450699999999999,0.05256822329126218,0.038634000000000016
5,27,0.641015,0.04288610818202089,0.03723900000000001
5,29,0.666215,0.040856337023771484,0.03337500000000001
5,31,0.689275,0.05127815202403456,0.027877000000000002
5,33,0.7166650000000001,0.05123992852258871,0.021770999999999995
5,35,0.700855,0.04314093734493955,0.015957
5,37,0.7135,0.0441091260398571,0.011017
5,39,0.72351,0.0477921531216161,0.007191
5,41,0.737015,0.05131613074852778,0.004456
5,43,0.71487,0.05455706278750717,0.0026409999999999997
5,45,0.7339100000000001,0.05658805439313142,0.0015340000000000002
5,47,0.7444850000000001,0.05574322627010389,0.0009459999999999998
5,49,0.740655,0.06180357170099476,0.000753
7,1,0.7358,0.054367048843945914,0.000965
7,3,0.7423100000000001,0.048621835629683904,0.0014790000000000003
7,5,0.709195,0.042782665590166316,0.002622
7,7,0.732495,0.04211231975325036,0.004675
7,9,0.7183850000000002,0.04783931725056284,0.008042999999999998
