D,radius,num_mean,num_std,analytical,residual_mean,residual_std
0.5,0,9.49553133e+00,1.04808755e+00,7.99439972e+00,1.50113161e+00,1.65690289e-01
0.5,1,5.66007603e+00,6.24741793e-01,5.53744665e+00,1.22629383e-01,1.35354551e-02
0.5,2,1.95523319e+00,2.15812628e-01,2.15094185e+00,-1.95708659e-01,2.16017197e-02
0.5,3,5.36510644e-01,5.92183957e-02,5.54999429e-01,-1.84887842e-02,2.04073508e-03
0.5,4,1.19775013e-01,1.32203977e-02,9.51719925e-02,2.46030204e-02,2.71560581e-03
0.5,5,1.72737423e-02,1.90662257e-03,8.76265269e-03,8.51108966e-03,9.39427908e-04
0.5,6,2.49579073e-03,2.75477708e-04,4.46942518e-04,2.04884822e-03,2.26145567e-04
0.5,7,2.78223414e-04,3.07094451e-05,1.69825017e-05,2.61240912e-04,2.88349687e-05
0.5,8,2.82269766e-05,3.11560692e-06,3.46873169e-07,2.78801035e-05,3.07732012e-06
0.5,9,2.78283724e-06,3.07161020e-07,4.18119774e-09,2.77865604e-06,3.06699512e-07
0.5,10,2.22262530e-07,2.45326548e-08,3.97937757e-11,2.22222736e-07,2.45282625e-08
0.5,11,1.98819538e-08,2.19450895e-09,1.71438647e-13,1.98817823e-08,2.19449002e-09
0.5,12,1.26878733e-09,1.40044845e-10,6.47768975e-16,1.26878669e-09,1.40044774e-10
0.5,13,8.00188098e-11,8.83223023e-12,1.14725130e-18,8.00188086e-11,8.83223010e-12
0.5,14,5.42078371e-12,5.98329442e-13,8.91847430e-22,5.42078371e-12,5.98329441e-13
0.5,15,3.09940583e-13,3.42102887e-14,7.70416640e-25,3.09940583e-13,3.42102887e-14
0.5,16,1.80131854e-14,1.98824002e-15,2.76453821e-28,1.80131854e-14,1.98824002e-15
0.5,17,8.12699608e-16,8.97032843e-17,9.78043890e-32,8.12699607e-16,8.97032843e-17
0.5,18,4.01772386e-17,4.43464009e-18,1.21644638e-35,4.01772386e-17,4.43464009e-18
0.5,19,1.92709433e-18,2.12706747e-19,8.33852746e-40,1.92709433e-18,2.12706747e-19
0.5,20,8.50368385e-20,9.38610482e-21,6.20692533e-44,8.50368385e-20,9.38610482e-21
0.5,21,3.16308736e-21,3.49131859e-22,1.86737473e-48,3.16308736e-21,3.49131859e-22
0.5,22,1.37324195e-22,1.51574225e-23,3.85994997e-53,1.37324195e-22,1.51574225e-23
0.5,23,5.20473069e-24,5.74482174e-25,5.07439227e-58,5.20473069e-24,5.74482174e-25
0.5,24,1.78261001e-25,1.96759013e-26,4.13515261e-63,1.78261001e-25,1.96759013e-26
0.5,25,5.72591778e-27,6.32009202e-28,2.47468912e-68,5.72591778e-27,6.32009202e-28
0.5,26,1.85373622e-28,2.04609704e-29,4.87724996e-74,1.85373622e-28,2.04609704e-29
0.5,27,6.46622824e-30,7.13722395e-31,7.49282765e-80,6.46622824e-30,7.13722395e-31
0.5,28,1.96730776e-31,2.17145383e-32,8.10126771e-86,1.96730776e-31,2.17145383e-32
0.5,29,5.15045759e-33,5.68491676e-34,6.43549165e-92,5.15045759e-33,5.68491676e-34
0.5,30,1.51262684e-34,1.66959100e-35,2.72284594e-98,1.51262684e-34,1.66959100e-35
0.5,31,3.78278096e-36,4.17531735e-37,5.11017291e-105,3.78278096e-36,4.17531735e-37
